性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数
0,1,0,1,1,【英联杯半决赛首回合曼联3-0，新援斩获红魔生涯首球】联赛杯半决赛首回合，曼联对阵诺丁汉森林。上半场，拉什福德一条龙破门，韦霍斯特补射得手。下半场，埃里克森中框，B费破门。全场结束，曼联3-0诺丁汉森林占得先机。 ,2023/1/26,5,4,1
0,1,0,1,1,【国王杯巴萨1-0晋级半决赛，登贝莱制胜】西班牙国王杯1/4决赛，巴萨坐镇诺坎普迎战皇家社会。上半场布莱斯-门德斯被红牌罚下，两队暂0-0战平；下半场登贝莱小角度爆射破门，最终巴萨1-0击败十人皇家社会，挺进半决赛。腾讯体育 ,2023/1/26,2,0,0
0,2,0,1,1,#快船战胜湖人##詹姆斯46分#【詹姆斯46+8+7刷爆纪录 湖人遭洛城德比10连败】湖人惨负快船结束2连胜，詹姆斯命中9记三分创生涯纪录，面对联盟30队全部砍过40+，成为历史第一人。威少17分迎24000分里程碑，小卡乔治合砍52+18。 ,2023/1/25,6,0,1
0,2,1,1,1,【惊魂一幕！詹皇拼命救球翻过座椅重摔在地】詹姆斯救球撞到场边女球迷，翻过座椅重摔在地，所幸无大碍，躺地缓了一会儿重新登场。今天真拼了 詹姆斯救球翻出场外 ,2023/1/25,7,1,0
0,2,0,1,1,【詹姆斯战卡椒冲神迹！正视频直播快船vs湖人】洛杉矶德比群星璀璨，湖人对阵快船已9连败，詹姆斯能否率队终结尴尬纪录。看直播>>扫一扫下载 腾讯体育APP ,2023/1/25,3,1,0
0,2,0,1,1,今天11点，NBA迎来重磅比赛：湖人VS快船的洛城德比，看点如下：1、近期交锋，快船已经对湖人取得 9-0战绩，此战是快船连胜的延续，还是湖人终结连败；2、洛城德比从来都不缺乏巨星：詹姆斯、小卡、泡椒纷纷登场，当然还有场边成群结队的好莱坞巨星们；3、詹姆斯此战若砍下40分，将实现对联盟30队全部砍下40+得分的壮举，创造NBA神迹。欢迎大家来腾讯体育APP观看本场比赛。,2023/1/25,4,2,0
0,2,0,1,1,【NBA全明星赛重大创新！队长比赛前在球场选人】NBA官宣全明星赛队长选人方式改变，首次在比赛开打前，双方队长在球场挑选队友，名记：这太有趣了。腾讯体育 ,2023/1/25,11,0,0
0,2,0,1,1,26日NBA新年必看比赛：湖人马刺昔日对手赛场重逢26日NBA新年必看比赛 湖人马刺昔日对手赛场重逢 ,2023/1/25,1,0,0
0,1,0,1,1,【姆巴佩5射1传队史首人 巴黎7-0晋级法国杯16强】法国杯1/16决赛巴黎圣日耳曼客场对阵低级别球队卡塞勒，在梅西缺席的情况下，姆巴佩上演五子登科并送出助攻，内马尔则贡献1球2助攻，大巴黎7-0完胜轻松晋级下一轮。腾讯体育 巴黎7-0晋级法国杯16强：姆巴佩五子登科队史第一人 ,2023/1/24,6,0,0
0,2,1,1,1,#湖人战胜开拓者##詹姆斯37分11篮板##托马斯布莱恩特31分14篮板# 【湖人惊天逆转！詹姆斯37+11托布31+14】 湖人25分逆转开拓者获2连胜，詹姆斯单节轰16分，托布31分创赛季新高，布朗关键三分杀死比赛，施罗德24+6+8。 腾讯体育 ,2023/1/23,11,1,0
