性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题,
2,11,0,1,4,以全力赴未来！#武大靖徐梦桃高亭宇登春晚舞台# 🎙️@春晚 节目单官宣，三位冬奥冠军@武大靖 、@徐梦桃 和@高亭宇 将在开场节目《花开种花家》中登场！一起跟随视频再来欣赏一下梦桃的《我是第一》！“跨越自己，你我才精彩”！期待体育健儿们舞台上的表现，相信会和赛场上一样精彩~ 咪咕音乐的微博视频,1/20/2023,17,2,0,武大靖徐梦桃高亭宇登春晚舞台,
2,11,0,1,4,期待！#武大靖徐梦桃高亭宇登春晚舞台# 🎙️@春晚 节目单官宣，三位冬奥冠军@武大靖 、@徐梦桃 和@高亭宇 将在开场节目《花开种花家》中登场！你期待吗？  ,1/20/2023,58,6,2,武大靖徐梦桃高亭宇登春晚舞台,
2,6,0,1,1,#印度赛雅思组合逆转进四强#  🏸️#2023年印度羽毛球公开赛# ，@郑思维--- @黄雅琼--- 14-21、21-15、21-12 吉奎尔/德尔吕  🔎半决赛对阵：徐承宰/蔡侑玎 vs 渡边勇大/东野有纱 ,1/20/2023,65,6,3,"印度赛雅思组合逆转进四强,2023年印度羽毛球公开赛",
2,14,0,3,6,#抓瑞兔阅福气# [贴贴兔]新年就要大展宏“兔”，抓只兔子守护你，好运护体迎福年#2023新年书适# 网页链接 ,1/20/2023,4,0,1,"抓瑞兔阅福气,2023新年书适",
2,13,0,2,4,#2024冬青奥会公布吉祥物# 组委会日前公布了2024年韩国江原道冬青奥会的吉祥物和主题歌、主题舞蹈吉祥物名为Moongcho（萌吉奥），原型是一个雪球。名字来源于韩国单词“Moongchida”，意思是汇集各种思想和力量#冬青奥会# 奥林匹克运动会的微博视频 ,1/20/2023,14,2,0,"2024冬青奥会公布吉祥物,冬青奥会",
2,14,0,1,4,#体坛群星登门拜年# 说说2023年你最期待的一项体育赛事，期待运动员们都取得理想的成绩#体坛花式贺新船# 网页链接 ,1/20/2023,2598,38,11,"体坛群星登门拜年,体坛花式贺新船",
2,14,0,1,4,��#体坛群星登门拜年# 值此新春佳节到来之际，请接收这一份来自体坛群星们的春节祝福，兔年大吉，万事如意[兔兔拜年]同时也祝运动员们新一年身体健康，取得理想的成绩 #体坛花式贺新春# ,1/20/2023,223,29,10,"体坛群星登门拜年,体坛花式贺新春",
2,14,0,1,4,��#体坛群星登门拜年# 瑞兔迎春！值此新春佳节之际，体坛群星们给您拜年啦，祝大家新一年“兔”飞猛进，前“兔”似锦，事事顺心，大吉大利[大吉大利]#体坛花式贺新春# 咪咕体育的微博视频 ,1/20/2023,524,30,24,"体坛群星登门拜年,体坛花式贺新春",
2,13,0,1,6,#看UFC上咪咕# 新 | 🏮1月22日 大年初一 年 | 🏆#UFC283# 两场冠军战大 | 📱咪咕视频独家直播战 | 更有会员新春好礼网页链接 ,1/20/2023,2,0,0,"看UFC上咪咕,UFC283",
2,11,0,1,1,#大冬会短道速滑1500米中国全晋级# 普莱西德湖大冬会短道速滑今日开战，率先进行的男子、女子1500米预赛中，6位出战的中国选手全部晋级半决赛 女子1500米贾惠凌：2:47.368小组第一王艺潮：2:50.640小组第二郝卫莹：2:37.936小组第二男子1500米朱祎玎：2:25.110小组第一王昊：2:16.981小组第三李昌益：2:20.684小组第二#大冬会# 咪咕体育的微博视频,1/20/2023,17,1,3,"大冬会短道速滑1500米中国全晋级,大冬会",
2,7,0,1,1,#林诗栋蒯曼3比0匈牙利组合#🏓️#WTT常规挑战赛多哈站2023#混双1/4，@林詩棟y /蒯曼@kuaiman0207 3比0战胜埃克塞奇/马达拉萨(匈牙利)🎙️三局比分：13-11，11-7，11-6#看WTT上咪咕# 咪咕体育的微博视频 ,1/19/2023,25,0,1,"林诗栋蒯曼3比0匈牙利组合,WTT常规挑战赛多哈站2023,看WTT上咪咕",
2,7,0,1,1,#WTT常规挑战赛多哈站2023# 今日赛程15:00混双1/4：@林詩棟y /蒯曼@kuaiman0207 vs埃克塞奇/马达拉萨15:35女单R16：@钱天一321 vs考夫曼16:10女双1/4：@Z张瑞Z /蒯曼vs杜凯琹/朱成竹16:10男双1/4：@向小鹏- /@袁励岑a vs斯祖迪/埃克塞奇16:45男单R16：周启豪@Unique小周同志 vs弗雷塔斯16:45男双1/4：于子洋@Yuuu_ziyang /@周恺_KG vs@黃鎮廷0907 /@何钧杰anson 17:20 男单R16：林诗栋vs赵胜敏19:00 女单R16：蒯曼vs@范思琦rice 20:10 女单R16：陈熠vs马达拉萨20:10 男单R16：袁励岑vs普卡20:45 女单R16：张瑞vs@田志希_小酷 23:35 女单R16：@L炜珊Ss vs萨马拉次日0:45 男单R16：向鹏vs阿昌塔次日1:20 混双半决赛 锁定@咪咕视频 ，一起为国乒加油助威,1/19/2023,11,3,0,WTT常规挑战赛多哈站2023,
2,11,0,1,1,#中国短道速滑队大冬会分组#女子1500米：贾惠凌1组，王艺潮3组，郝卫莹5组男子1500米：李昌益1组，朱祎玎2组，王昊4组混合接力：中国队1组，同组对手是日本和哈萨克斯坦中国大学生短道速滑队昨日进行赛前训练，重点练习了起跑发令和接力交接环节。大冬会短道速滑比赛将于1月20日5点开战，一起为中国队加油#大冬会#,1/19/2023,38,7,0,"中国短道速滑队大冬会分组,大冬会",
2,6,0,1,1,[看涨]#印度赛雅思组合进八强# 从虎虎生威到“兔”飞猛进#2023年印度羽毛球公开赛# 第二轮，@郑思维--- /@黄雅琼--- 21-16、21-9轻取库沙扬托/库苏马瓦蒂，晋级1/4决赛的同时豪取跨年22连胜#雅思组合跨年22连胜# ,1/19/2023,32,5,0,"印度赛雅思组合进八强,2023年印度羽毛球公开赛,雅思组合跨年22连胜",
2,6,0,1,1,��️#印度赛雅思组合进次轮#@郑思维--- @黄雅琼--- 21-11 21-7吴顺发/赖洁敏雅思组合轻松击败对手，晋级下一轮。#2023年印度羽毛球公开赛# ,1/18/2023,30,1,0,"印度赛雅思组合进次轮,2023年印度羽毛球公开赛",
2,7,0,1,1,��晋级八强！#林诗栋蒯曼3比0莱贝松袁嘉楠# 🏓️#WTT常规挑战赛多哈站2023# 混双1/8，@林詩棟y /蒯曼@kuaiman0207 3比0 莱贝松/@袁嘉楠 ，三局比分：11-7/11-7/11-5。#看WTT上咪咕# 咪咕体育的微博视频 ,1/18/2023,47,15,27,"林诗栋蒯曼3比0莱贝松袁嘉楠,WTT常规挑战赛多哈站2023,看WTT上咪咕",
2,3,0,1,1,#澳网2023# 今日中国军团赛程@王欣瑜Tennis vs凯斯@朱琳Miss_tough vs泰希曼@郑钦文Ana vs佩拉@Tennis张帅 vs提格 @商竣程 vs蒂亚福一起为中国选手加油 ,1/18/2023,22,5,1,澳网2023,
2,3,0,1,1,#澳网2023#中国军团今日赛程@Tennis张帅 [23] vs 提格@王曦雨WXY vs 卡·普利斯科娃@张之臻 vs 谢尔顿 在首日比赛中中国军团4人晋级，@商竣程 3-1战胜奥特创造历史，@郑钦文Ana 连赢11局轻取加尔菲，@朱琳Miss_tough 携手@王欣瑜Tennis 一同晋级第2轮#三位中国选手出战澳网第二日比赛# ,1/17/2023,17,3,1,"澳网2023,三位中国选手出战澳网第二日比赛",
2,13,0,2,4,▰▰▰🤸🏼♂️热练健身房Week4▰▰▰  [炸弹]轰炸脂肪✨快乐律动🎵📅每周一至周五✮晚19:30⏰📱#全民热练移起开练#🏃🏻♀️网页链接 ,1/16/2023,0,0,0,全民热练移起开练,
2,3,0,1,1,加油#六位中国选手出战澳网首日比赛#🎾#澳网2023#将于1月16日至1月30日在墨尔本举行，在首日比赛中将有六位中国选手登场出战，他们是：@Y袁悦Y 、@商竣程 、@吴易昺 、@郑钦文Ana 、@朱琳Miss_tough 、@王欣瑜Tennis@王曦雨WXY 、@张之臻  、@Tennis张帅 将在第二比赛日登场#郑赛赛因伤退出2023澳网#,1/15/2023,11,1,3,"六位中国选手出战澳网首日比赛,澳网2023,郑赛赛因伤退出2023澳网",
2,7,0,1,1,#倪夏莲安利混双搭档#🗨️@乒乓倪夏莲 发文向大家安利混双搭档卢卡，多高大的帅小伙子，他在中国已经出名了卢卡：和夏莲一起打球质量总是很高，我们练习了很多打法#倪奶奶的乒乓日记##倪夏莲# 乒乓倪夏莲的微博视频 ,1/15/2023,32,2,1,"倪夏莲安利混双搭档,倪奶奶的乒乓日记,倪夏莲",
2,6,0,1,1,��️#2023年马来西亚公开赛#混双决赛@郑思维--- /@黄雅琼--- 21-19 21-11 渡边勇大/东野有纱，在大马公开赛连续四年夺冠，这也是雅思组合的跨赛季20连胜！ #大马赛雅思组合四连冠##雅思组合跨赛季20连胜# @TEAMCHINA中国国家队 ,1/15/2023,125,11,8,"2023年马来西亚公开赛,大马赛雅思组合四连冠,雅思组合跨赛季20连胜",
2,6,0,1,1,��️#国羽挺进男双女双混双三项决赛#📅1月15日决赛13点开赛，#大马赛国羽进三项决赛#1、@郑思维--- @黄雅琼--- 🇨🇳 vs 渡边勇大/东野有纱（11-3）2、@陈小白BAOBAO /@贾一凡_F 🇨🇳 vs 白荷娜/李幽林（1-1）3、山口茜 vs 安洗莹（9-5）4、奈良岡功大 vs 安赛龙（0-3）5、@梁伟铿K /@V王昶V 🇨🇳 vs 阿尔菲安/阿德里安托（1-1）【超清全场】梁伟铿/王昶 vs 兰基雷迪/谢提：小星星侃大山的微博视频,1/15/2023,10,0,0,"国羽挺进男双女双混双三项决赛,大马赛国羽进三项决赛",
2,7,0,1,1,��恭喜！#林诗栋蒯曼WTT混双夺冠# 🏓️WTT常规挑战赛德班站混双决赛，🇨🇳@林詩棟y /蒯曼@kuaiman0207  3比1 🇨🇳@薛飞0210 /@钱天一321  ，四局比分：11-7/6-11/11-6/11-7🆚#林诗栋蒯曼3比1薛飞钱天一##WTT常规挑战赛德班站# 咪咕体育的微博视频 ,1/15/2023,36,3,1,"林诗栋蒯曼WTT混双夺冠,林诗栋蒯曼3比1薛飞钱天一,WTT常规挑战赛德班站",
2,6,0,1,1,��️#大马赛雅思组合进决赛#@郑思维--- @黄雅琼--- 21-16、21-18 德扬/维德佳佳雅思组合直落两局击败对手，挺进决赛。他们将在决赛迎战渡边勇大/东野有纱。#2023年大马羽毛球公开赛#  ,1/14/2023,35,1,2,"大马赛雅思组合进决赛,2023年大马羽毛球公开赛",
2,7,0,1,1,真棒！#林诗栋蒯曼3比1弗朗西斯卡单晓娜# 🏓️WTT常规挑战赛德班站混双半决赛，@林詩棟y /蒯曼@kuaiman0207 🇨🇳3-1@Franziska小弗 /@单晓娜德国 🇩🇪【11-7，3-11，11-8，11-5】#国乒包揽WTT德班站混双冠亚军##WTT常规挑战赛德班站# 咪咕体育的微博视频 ,1/14/2023,90,4,3,"林诗栋蒯曼3比1弗朗西斯卡单晓娜,国乒包揽WTT德班站混双冠亚军,WTT常规挑战赛德班站",
2,7,0,1,1,��#薛飞钱天一3比1勒布伦帕瓦德# WTT常规挑战赛德班站混双半决赛，薛飞/@钱天一321 🇨🇳3-1 F勒布伦/帕瓦德🇫🇷【11-6，11-4，10-12，11-5】#国乒包揽WTT德班站混双冠亚军##WTT常规挑战赛德班站# 咪咕体育的微博视频 ,1/14/2023,14,0,2,"薛飞钱天一3比1勒布伦帕瓦德,国乒包揽WTT德班站混双冠亚军,WTT常规挑战赛德班站",
2,7,0,1,1,顺利晋级！#张瑞蒯曼3比0莫雷特库库洛娃# 🏓️#WTT常规挑战赛德班站# 女双1/4决赛，@Z张瑞Z /蒯曼@kuaiman0207 3比0莫雷特/库库洛娃，晋级女双四强，三局比分为：11-4/11-5/11-4。📺#看WTT上咪咕# 咪咕体育的微博视频 ,1/14/2023,27,1,0,"张瑞蒯曼3比0莫雷特库库洛娃,WTT常规挑战赛德班站,看WTT上咪咕",
2,5,0,1,4,#苏炳添任田协副主席##巩立姣任田协副主席# 中国田径协会第十届代表大会一次会议在京举行，按照民政部及国家体育总局关于换届工作的相关要求，会议选举产生了协会第十届负责人和执委会，其中@苏炳添 和@巩立姣 出任田协副主席职务。  ,1/13/2023,149,10,8,"苏炳添任田协副主席,巩立姣任田协副主席",
2,7,0,1,1,#林诗栋蒯曼3比1泽林卡库库洛娃#🏓#WTT常规挑战赛德班站#混双1/4决赛，@林詩棟y /蒯曼@kuaiman0207 3-1战胜泽林卡/库库洛娃（7-11、11-6、11-3、11-7） 咪咕乒乓球的微博视频 ,1/13/2023,24,0,0,"林诗栋蒯曼3比1泽林卡库库洛娃,WTT常规挑战赛德班站",
2,7,0,1,1,好样的！#薛飞钱天一3比0科吉尔玛凡迪#🏓️#WTT常规挑战赛德班站#混双1/4，@薛飞0210 /@钱天一321 3比0战胜科吉尔/玛凡迪(南非)三局比分：11-9、11-2、11-3#看WTT上咪咕#   咪咕体育的微博视频 ,1/13/2023,21,0,0,"薛飞钱天一3比0科吉尔玛凡迪,WTT常规挑战赛德班站,看WTT上咪咕",
2,11,0,1,4,#2023大冬会开幕式# 2023年大冬会举行开幕式，中国代表团登场普莱西德湖大冬会是北京冬奥会成功举办后我国参加的首个综合性冬季运动会，中国代表队将参加短道速滑、女子冰壶、单板滑雪3个大项11个小项的比赛#大冬会# FISU国际大体联的微博视频 ,1/13/2023,31,2,1,"2023大冬会开幕式,大冬会",
2,6,0,1,1,#大马赛雅思组合进八强# 连得11分拿下！  🏸️#2023年大马羽毛球公开赛# ，@郑思维--- @黄雅琼--- 21-16、21-10 吴顺发/赖洁敏  🔎8进4：郑思维/黄雅琼 vs 吉奎尔/德尔吕 ,1/12/2023,47,1,1,"大马赛雅思组合进八强,2023年大马羽毛球公开赛",
2,6,0,1,1,一键转发收藏📖#WTT常规挑战赛德班站#1月12日赛程(北京时间)：16:00 混双R16：@薛飞0210 /@钱天一321 vs@邱党DangQiu /米特兰姆(德国)16:35 混双R16：@林詩棟y /蒯曼@kuaiman0207 vs林格维尔德特/爱德华兹(南非)17:10 女单R32：@Z张瑞Z vs芦茨(法国)17:45 男单R32：薛飞vs雅尔维斯(英格兰)17:45 男单R32：@梁俨苧 vs罗兰德(法国)20:00 男单R32：@徐瑛彬bin vs格罗德(卢森堡)20:00 女双R16：张瑞/蒯曼vs诺米多/莫克利(南非)20:35 男单R32：@孙闻William vs@阿鲁纳Aruna (尼日利亚)20:35 男单R32：林诗栋vs高承睿(中国台北)21:10 女单R32：@L炜珊Ss vs巴拉佐娃(斯洛伐克)21:10 男双R16：梁俨苧/薛飞vs黄彦诚/YANG Tzu-Yi(中国台北)22:20 男单R32：@陈垣宇cyy vs@Franziska小弗 (德国)22:20 女单R32：@范思琦rice vs帕瓦德(法国)24:00 女单R32：蒯曼vs卡玛斯(印度)次日0:35 女双R16：钱天一/@石洵瑶w vs卡拉姆/爱德华兹(南非)次日1:10 女双R16：刘炜珊/范思琦vs米特兰姆/单晓娜(德国)次日1:45 男双R16：陈垣宇/林诗栋vs纳特霍/柯吉尔(南非)次日2:20 女单R32：钱天一vs阿尔迪恩卡雅(土耳其)次日2:20 女单R32：陈熠vs库库尔科娃(斯洛伐克)#薛飞钱天一3比1邱党米特兰姆##看wtt上咪咕#,1/12/2023,2,1,0,"WTT常规挑战赛德班站,薛飞钱天一3比1邱党米特兰姆,看wtt上咪咕",
2,6,0,1,1,��️#林诗栋蒯曼3比0南非组合# #WTT常规挑战赛德班站#混双1/8决赛，@林詩棟y /蒯曼@kuaiman0207 3比0轻取南非组合林格维尔特/爱德华兹，晋级混双8强，三局比分11-3/11-2/11-3。#薛飞钱天一3比1邱党米特兰姆# 咪咕乒乓球的微博视频 ,1/12/2023,27,2,1,"林诗栋蒯曼3比0南非组合,WTT常规挑战赛德班站,薛飞钱天一3比1邱党米特兰姆",
2,6,0,1,1,#薛飞钱天一3比1邱党米特兰姆#🏓️#WTT常规挑战赛德班站#混双R16 ，@薛飞0210 /@钱天一321 3比1战胜 @邱党DangQiu /米特兰姆(德国)四局比分：11-7、6-11、11-4、11-6#看WTT上咪咕# 咪咕体育的微博视频 ,1/12/2023,39,3,0,"薛飞钱天一3比1邱党米特兰姆,WTT常规挑战赛德班站,看WTT上咪咕",
2,11,0,2,1,#当滑冰遇上绝美风景# 宛如仙境~湛蓝的天空，如镜子般的冰面，这一切感觉是那么的不真实奥林匹克运动会的微博视频 ,1/12/2023,43,0,6,当滑冰遇上绝美风景,
2,3,0,1,1,#2023澳网正赛签表##澳网2023# 抽签仪式结束，男女单打签表出炉中国球员首轮对阵情况：[23]张帅 VS 提格[29]郑钦文 VS 加尔菲王曦雨 VS 卡·普利斯科娃王欣瑜 VS 亨特朱琳 VS 马里诺袁悦 VS 萨卡里郑赛赛 VS 贝古张之臻 VS 本·谢尔顿吴易昺 VS 穆泰特#中国金花澳网首轮对阵# ,1/12/2023,9,2,2,"2023澳网正赛签表,澳网2023,中国金花澳网首轮对阵",
2,6,0,1,1,#大马赛雅思组合横扫进次轮# 光速下班，开年首胜！大马羽球公开赛首轮，@郑思维--- /@黄雅琼--- 21-8、21-14战胜杨博轩/胡绫芳，直落两局挺进次轮#2023年大马羽毛球公开赛# ,1/10/2023,38,5,1,"大马赛雅思组合横扫进次轮,2023年大马羽毛球公开赛",
2,6,0,1,1,#国羽打响新年首战# 2023世界羽联超级1000马来西亚公开赛今日大幕拉开，国羽打响新年首战10:00比赛开打，何冰娇、石宇奇、韩悦、雅思组合、黄鸭组合、凡晨组合将悉数出战#2023年大马羽毛球公开赛# ,1/10/2023,33,7,4,"国羽打响新年首战,2023年大马羽毛球公开赛",
2,7,0,1,1,#林高远王曼昱4比2林兆恒吴咏琳#🏓#德班世乒赛亚洲区预赛#混双小组赛，@Eric-林高远 /@王曼昱 4-2战胜林兆恒/吴咏琳，六局比分：9-11、11-7、11-6、11-2、10-12、11-3 咪咕体育的微博视频 ,1/9/2023,2643,168,64,"林高远王曼昱4比2林兆恒吴咏琳,德班世乒赛亚洲区预赛",
2,7,0,1,1,晋级混双8强！#王楚钦孙颖莎4比2冯耀恩王歆茹#🏓️#德班世乒赛亚洲区预赛# 混双小组赛A组， @王楚钦___ /@孙颖莎 4比2战胜冯耀恩/王歆茹(新加坡)，晋级混双8强！六局比分11-8、11-7、7-11、9-11、11-3、11-5。 ,1/9/2023,5243,303,223,"王楚钦孙颖莎4比2冯耀恩王歆茹,德班世乒赛亚洲区预赛",
2,7,0,1,1,#国乒双打今日出击# 激动的心颤抖的手！国乒双打组合齐亮相15:00起锁定@咪咕视频 ，一起为国乒加油助威#德班世乒赛亚洲区预赛# ,1/9/2023,393,49,3,"国乒双打今日出击,德班世乒赛亚洲区预赛",
2,14,0,2,1,��️「见证中国体育产业榜样的力量」过去一年，我们历经双奥之城北京绽放冬奥华彩；见证卡塔尔世界杯绿茵奇迹。咪咕体育在2022年完成全新品牌口号升级，以「美好生活元动力」为全新主张，不断夯实5G+全体育发展理念。我们已覆盖行业超30项大赛内容，全年运营赛事直播超8000场次。 感谢@体育大生意 在2022年第九届#体育大生意年度评选# 中授予@咪咕视频 最佳体育媒体、最佳体育APP。 2023，我们继续努力！🙌,1/7/2023,11,1,3,体育大生意年度评选,
2,14,0,3,6,#万妮达潘玮柏ICE主演新MV##去炫吧乐派# 本期解锁任务让谁大饱眼福了@張亞東 制作人兼职编剧和导演，乐派团全员@Vinida万妮达 @潘瑋柏 @艾福杰尼 @ICE杨长青 出演，全新演绎《走过咖啡屋》，好听又好看~咪咕视频的微博视频 ,1/7/2023,7,0,0,"万妮达潘玮柏ICE主演新MV,去炫吧乐派",
2,7,0,1,1,#世乒赛预选赛混双分组#第1组：@孙颖莎 /@王楚钦___ 第5组：@王曼昱 /@Eric-林高远 #世乒赛预选赛抽签##2023德班世乒赛亚洲预选赛# ,1/6/2023,186,16,5,"世乒赛预选赛混双分组,世乒赛预选赛抽签,2023德班世乒赛亚洲预选赛",
2,13,0,1,1,��新春佳节即将到来，一月份的国际赛事也将如火如荼的展开。从即日起，我们发起新春对联征集活动，由我们出上联，邀请各位球迷在评论区对出下联，让我们一起为国乒加油！📅活动时间：即日起-1月30日🎁评选规则/奖励：截止1月30日20:00，我们将选取微博评论区对对联者点赞数前3的用户，随机赠送国乒签名照一张。上联：乒乒乓乓除旧岁下联：_____________,1/6/2023,15007,1008,1842,,
2,14,0,1,6,#上元宇宙看京剧龙凤呈祥# 传统国粹赋新调，一场精彩绝伦的京剧盛宴即将上演！《龙凤呈祥》情节生动、场面宏大，还承载着吉祥喜庆的寓意，是人们逢年过节必点的合家欢式经典剧目。1月16日19:00 上咪咕视频，共赏经典京剧，一起云大戏过大年！ 咪咕视频的微博视频 ,1/6/2023,5,1,3,上元宇宙看京剧龙凤呈祥,
2,13,0,1,1,��<新>年新气象🧨<春>节观赛指南请查收🤲📱<快>登陆@咪咕视频🏓️<乐>享WTT赛事#国乒明日打响2023第一战# #看WTT上咪咕# 网页链接 ,1/6/2023,23,4,1,"国乒明日打响2023第一战,看WTT上咪咕",
2,11,0,1,8,#隋文静韩聪获年度体育人物# 《中国新闻周刊》评选出2022年度影响力人物，奥运冠军@Guile隋文静 、@Allen韩聪 当选年度体育人物葱桶组合此前还入围了花样滑冰年度颁奖礼三项评选：最有价值运动员、最佳服饰以及最具娱乐性节目#2023花样滑冰年度颁奖礼# Guile隋文静的微博视频 ,1/5/2023,57,8,1,"隋文静韩聪获年度体育人物,2023花样滑冰年度颁奖礼",
2,6,0,1,1,#国羽实战对抗备战新赛季# 作为上半年头等大事的苏迪曼杯，会拼尽全力去实现卫冕单打组要让更多年轻人参与比赛，增强集团竞争力；双打组会尝试新配对，探索更多优化可能性🏸️目前正在进行冬训的中国羽毛球队已安排多场实战对抗，进一步调整自身状态，寻找比赛感觉。本周末国羽出征马来西亚，开启2023年新赛季#国羽将全力卫冕苏迪曼杯#,1/5/2023,22,2,1,"国羽实战对抗备战新赛季,国羽将全力卫冕苏迪曼杯",
2,13,0,2,4,❄️﻿ ˃̶͈☃️˂̶͈ ²⁰²³/₀₁.₀₅ ﻿ ˃̶͈☃️˂̶͈ ❄️#小寒#料峭🎉盼雪迎春全民热练🏋🏻无惧严寒 🏻♀️#全民热练移起开练# 网页链接 ,1/5/2023,7,0,0,"小寒,全民热练移起开练",
2,13,0,1,1,#攀岩潜水赛事被列为高危险性体育赛事#国家体育总局发布公告，将6大类18小项赛事活动列入首批高危险性体育赛事活动目录6类分别是：潜水赛事活动、跳伞滑翔伞等航空相关赛事活动、山地越野等登山相关赛事活动、攀岩相关赛事活动、滑雪登山赛事活动、汽车摩托车相关赛事活动#高危险性体育赛事活动目录#,1/4/2023,14,3,3,"攀岩潜水赛事被列为高危险性体育赛事,高危险性体育赛事活动目录",
2,1,0,1,1,#王霜曾有机会加盟热刺# 在结束大巴黎的生涯后，她与热刺曾有机会牵手，但后来因为某些原因无疾而终。2022年的夏天，27岁的王霜选择加盟大联盟的路易斯维尔竞技，签约1年半，开启了自己的第三次留洋。这样的转会，一方面离不开足协的留洋政策支持，但更重要的是她个人的意愿与俱乐部的帮助。,1/3/2023,35,1,1,王霜曾有机会加盟热刺,
2,7,0,1,1,#樊振东孙颖莎世界第一开启2023#  男单：樊振东、马龙@captain龙 、@王楚钦___ 位居前三，梁靖崑第六，@Eric-林高远 第12女单：@孙颖莎 、@陈梦-乒乓球 、@王曼昱 、王艺迪@迪214 稳居前四，@陈幸同 排名第7男双：樊振东/王楚钦排名第3，林高远/梁靖崑第6女双：王曼昱/孙颖莎位居榜首#国际乒联第53周世界排名# #2023年国际乒联第一期世界排名#,1/3/2023,5885,324,350,"樊振东孙颖莎世界第一开启2023,国际乒联第53周世界排名,2023年国际乒联第一期世界排名",
2,13,0,1,1,��#2023年赛历出炉# 📅2023年体育赛事依旧精彩不断，女足世界杯、杭州亚运会、欧洲五大联赛、欧冠欧联杯、德班世乒赛、WTT系列赛事、排球国家联赛、短道速滑世锦赛，咪咕体育与您一同关注。#看足球上咪咕##看WTT上咪咕# 央视网体育的微博视频 ,1/2/2023,26,1,3,"2023年赛历出炉,看足球上咪咕,看WTT上咪咕",
2,14,0,2,4,再见了！#雪容融下线#2022年12月31日，雪容融正式宣布下线。2022的最后一夜，冰墩墩找到了虎墩墩和兔墩墩，一起陪伴即将告别的融宝。钟声敲响，人们在欢呼声中放飞气球，我们也和雪容融作别。再见了，雪容融，谢谢你带给我们的欢乐与温暖！#冰墩墩送别雪容融#  ,1/2/2023,200,7,11,"雪容融下线,冰墩墩送别雪容融",
2,13,0,2,4,▰▰❄️热练健身房Week❷▰▰🧚♀️燃脂塑形宝典先睹为快📅每周一至周五✮晚19:30🏃♀️全民热练移起开练网页链接 ,1/1/2023,4,0,0,,
2,6,0,1,4,[2023]#国羽元旦祝福#🏸@BWF世界羽联 发布中国羽毛球队元旦祝福，@陈雨菲_CYF 、@陆光祖1111 、@王懿律enzo 、@H黄东萍 、@陈小白BAOBAO 、@贾一凡_F 出镜#元旦快乐#BWF世界羽联的微博视频 ,1/1/2023,61,5,2,"国羽元旦祝福,元旦快乐",
2,13,0,1,4,#成都大运会2023年邀请片发布# 新年第一天，成都有客来！第一视角沉浸体验千年成都魅力！今年7月，我们成都见！#2023成都见#成都2021世界大运会的微博视频 ,1/1/2023,11,0,0,"成都大运会2023年邀请片发布,2023成都见",
2,11,0,1,6,��#武大靖徐梦桃合唱超热血# @武大靖 @徐梦桃 @黄霄雲 @王赫野 四人合唱《篇章》好热血，整个舞台瞬间热血沸腾2023的新篇章愿更加精彩~[2023]央视新闻的微博视频 ,12/31/2022,32,0,4,武大靖徐梦桃合唱超热血,
2,7,0,1,3,点赞转发！#樊振东孙颖莎年终第一海报# WTT发布2022年度男女单打年终第一官方海报，再次恭喜樊振东和@孙颖莎 ，荣膺年终第一！#这些画面承载了我的2022# #国际乒联首位00后年终第一# ,12/31/2022,3729,132,196,"樊振东孙颖莎年终第一海报,这些画面承载了我的2022,国际乒联首位00后年终第一",
2,14,0,1,4,#这些画面承载了我的2022#2022体坛如烟花般璀璨，北京冬奥会盛大开幕、中国女足再登亚洲之巅、基普乔格突破人类极限、梅西终圆世界杯梦想；2022世界体坛22个燃情瞬间，承载着你的体育记忆 咪咕体育的微博视频 ,12/31/2022,863,36,74,这些画面承载了我的2022,
2,14,0,1,6,❄️今晚20:00 冰雪跨年夜🎆星际同频 共度新年🧊冰冻星球 解密生命真谛🪐我在南极等你跨年#加入超时空派对来星际广场一起嗨# ,12/31/2022,3,0,0,加入超时空派对来星际广场一起嗨,
2,14,0,2,4,��-🐰ꫛꫀꪝ❥ ²⁰²³ / ₃₆₅ 🐰-💮  🏮元气跨年·热练迎新🏮▹𝑯𝒂𝒑𝒑𝒚 𝑵𝒆𝒘 𝒀𝒆𝒂𝒓开启健康年🧨#全民热练移起开练#📱²⁰²³🥂网页链接 ,12/31/2022,7,0,0,全民热练移起开练,
2,13,0,2,4,辞旧迎新[努力]#这些画面承载了我的2022# 以冬奥会开始，以世界杯结束，回顾2022年那些令人感动的体育瞬间，那是一种无关国界、性别、年龄、种族的情感共鸣。 ,12/31/2022,84,3,5,这些画面承载了我的2022,
2,14,0,2,9,��咪咕体育倾情记录！📷22组海报燃情见证2022❣️相信体育力量奔赴2023#咪咕体育 美好生活元动力#网页链接 咪咕体育的微博视频 ,12/30/2022,22,5,3,咪咕体育 美好生活元动力,
2,13,0,2,1,️❤️体汇2022|我们共同见证✒️盘点国内&国际十大体育事件🏆燃情记录过去·勇敢迎接未来🔥2023我们乘风破浪追光而行网页链接 ,12/30/2022,7,3,1,,
