性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,3,0,1,1,#莱巴金娜vs萨巴伦卡# 莱巴金娜连续击败斯瓦泰克、奥斯塔彭科和阿扎伦卡三位大满贯冠军，晋级澳网女单决赛萨巴伦卡开年保持10连胜且都直落两盘，成为本世纪第三位达成该成就的女子球员是莱巴金娜再夺大满贯冠军，还是萨巴伦卡夺下大满贯首冠？今日16:30，关注#澳网2023#女单决赛 网页链接,1/28/2023,452,1,0,"莱巴金娜vs萨巴伦卡,澳网2023"
1,11,1,1,8,��#千金获年度最有价值滑手提名# ⛸️国际滑联公布年度最有价值滑冰选手入围名单，北京冬奥会冠军@谢尔巴科娃 获得提名，颁奖典礼将于2月5日举行。AnnaShcherbakova 咪咕体育的微博视频 ,1/27/2023,361,47,14,千金获年度最有价值滑手提名
1,6,0,1,1,��️#印尼500赛王祉怡进四强# 🆚#2023年印尼羽毛球大师赛#女单1/4决赛，@_王祉怡_ 2-0（21-12/21-6）战胜泰国选手李美妙，晋级半决赛。  ,1/27/2023,33,0,0,"印尼500赛王祉怡进四强,2023年印尼羽毛球大师赛"
1,4,0,1,2,[2023]#吴敏霞迪士尼vlog# @吴敏霞 一家游玩上海迪士尼，沉浸在童话世界无法自拔，真的太欢乐了！🧨#体坛花式贺新春##我的过年仪式感# 吴敏霞的微博视频 ,1/27/2023,10,0,3,"吴敏霞迪士尼vlog,体坛花式贺新春,我的过年仪式感"
1,6,0,1,1,��️#印尼500赛韩悦进四强#@韩_悦 19-21、21-8、21-16 玛莉丝卡🆚半决赛：韩悦 vs 马林（1-1）#2023年印尼羽毛球大师赛#  ,1/27/2023,25,0,0,"印尼500赛韩悦进四强,2023年印尼羽毛球大师赛"
1,4,0,1,4,加油！#张雨霏重启冠军之路##张雨霏的新年愿望# CGTN环球体育记者@Zhu_Mandan 独家专访奥运冠军@o张雨霏o 。东京奥运会双冠王张雨霏在过去的2022年收获了4枚铜牌，经历了低谷期的她正在重启冠军之路。她认为一个奥运冠军该有的心态，就是坚守初心，即使失败了，也不能畏手畏脚，不敢继续战斗CGTN体育报道的微博视频,1/27/2023,12,0,0,"张雨霏重启冠军之路,张雨霏的新年愿望"
1,7,0,1,1,��#日本全锦赛伊藤美诚无缘8强##日本乒乓球全锦赛#女单R16：伊藤美诚1-4横井咲樱，无缘8强【7-11/9-11/7-11/11-9/9-11】 ,1/27/2023,21,11,1,"日本全锦赛伊藤美诚无缘8强,日本乒乓球全锦赛"
1,1,0,1,1,#中国女足开启首期集训#🌹中国国家女子足球队于1月26日（大年初五）深夜陆续抵达广州番禺广州足球俱乐部训练基地，开启为期2周的2023首期集训。这次在广州集训期间，中国女足主帅水庆霞征集了27名球员参加，中国女足头号球星王霜推迟报到。#中国女足抵达广州开启集训# 广州日报的微博视频,1/27/2023,39,9,1,"中国女足开启首期集训,中国女足抵达广州开启集训"
1,1,0,1,1,[努力]#中国女足开启首期集训# 🗨️据《广州日报》报道，中国女足已于1月26日（大年初五）在广州番禺广州足球俱乐部训练基地集结，开启为期2周的2023首期集训。由于今年任务极重，因此主教练水庆霞透露训练要求会比以往更加严格。 ,1/27/2023,58,5,3,中国女足开启首期集训
1,7,0,1,6,#王曼昱写福字# 🎉今日送福嘉宾来咯！兔年大吉，幸福到你家🎁㊗️@王曼昱 为大家送福来啦！#体坛花式贺新春#WTT世界乒联的微博视频 ,1/27/2023,597,63,27,"王曼昱写福字,体坛花式贺新春"
1,3,0,1,1,��#郑洁晏紫澳网女双夺冠17周年#🏆🎾2006年1月27日澳网女双决赛，@郑洁 /@晏紫 经过顽强拼搏，以总比分2-1击败赛会头号种子雷蒙德/斯托瑟，夺得中国网球界在四大满贯赛成年组双打比赛的第一个冠军！#澳网2023# ,1/27/2023,46,4,3,"郑洁晏紫澳网女双夺冠17周年,澳网2023"
1,7,0,1,1,#何卓佳多哈站女单夺冠# @小胖子何卓佳 赛后采访：觉得自己有空间做得更好，之后的比赛希望能打好，感谢球迷们对我和中国乒乓球队的支持。📺#何卓佳3比1蒯曼#  WTT世界乒联的微博视频 ,1/26/2023,66,2,1,"何卓佳多哈站女单夺冠,何卓佳3比1蒯曼"
1,7,0,1,1,��#何卓佳多哈站女单夺冠##何卓佳3比1蒯曼#🏓️#WTT支线赛多哈站2023# 女单决赛：🆚@小胖子何卓佳 3-1 蒯曼@kuaiman0207 【11-8、8-11、11-7、12-10】 咪咕体育的微博视频 ,1/26/2023,90,13,3,"何卓佳多哈站女单夺冠,何卓佳3比1蒯曼,WTT支线赛多哈站2023"
1,1,0,3,2,❤️#梅西母亲助女孩见证阿根廷圆梦# 一位名为Maitena Riffel的阿根廷女孩，在世界杯期间来到卡塔尔工作，同时也为阿根廷加油。在此之前，Maitena Riffel接连遭遇不幸，男友和祖父先后离世，但Maitena Riffel并没有放弃前往卡塔尔。在得知这个消息后，梅西的母亲向Maitena Riffel赠送了世界杯决赛门票，这位阿根廷姑娘最终进入卢塞尔体育场见证了阿根廷的圆梦时刻。#看足球上咪咕#梅西,1/26/2023,120,14,0,"梅西母亲助女孩见证阿根廷圆梦,看足球上咪咕"
1,7,0,1,1,��️#钱天一石洵瑶多哈站女双夺冠##钱天一石洵瑶3比1张瑞蒯曼#🏓️#WTT支线赛多哈站2023# 女双决赛：🆚@钱天一321 /@石洵瑶w 3-1 @Z张瑞Z /蒯曼@kuaiman0207 【11-4、11-13、11-6、13-11】 咪咕体育的微博视频 ,1/26/2023,18,7,0,"钱天一石洵瑶多哈站女双夺冠,钱天一石洵瑶3比1张瑞蒯曼,WTT支线赛多哈站2023"
1,3,0,1,1,��未失一盘！#萨巴伦卡晋级澳网决赛# #澳网2023#女单半决赛，5号种子萨巴伦卡以7-6(1) 6-2击败波兰选手里内特，新赛季10战全胜且不失一盘，职业生涯首次跻身大满贯单打决赛！萨巴伦卡决赛对阵莱巴金娜。 ,1/26/2023,14,1,1,"萨巴伦卡晋级澳网决赛,澳网2023"
1,3,0,1,1,��恭喜！#莱巴金娜晋级澳网决赛# #澳网2023# 女单半决赛，莱巴金娜以7-6(4)/6-3力克两届赛会冠军阿扎伦卡，生涯第二度杀入大满贯女单决赛。她也成为历史上首位杀入澳网单打决赛的哈萨克斯坦球员🇰🇿  ,1/26/2023,35,9,2,"莱巴金娜晋级澳网决赛,澳网2023"
1,7,0,1,1,晋级决赛！#何卓佳3比0张瑞# 🏓️#WTT支线赛多哈站2023# 女单半决赛：🔥@小胖子何卓佳  3-0 @Z张瑞Z 【11-4、11-8、11-5】📺#看WTT上咪咕# 咪咕体育的微博视频 ,1/26/2023,24,5,0,"何卓佳3比0张瑞,WTT支线赛多哈站2023,看WTT上咪咕"
1,7,0,1,1,��#蒯曼3比2刘炜珊# 🏓️#WTT支线赛多哈站2023# 女单半决赛：🔥蒯曼@kuaiman0207 3-2 @L炜珊Ss【8-11、11-8、10-12、11-5、11-9】 📺#看WTT上咪咕# 咪咕体育的微博视频 ,1/26/2023,25,1,2,"蒯曼3比2刘炜珊,WTT支线赛多哈站2023,看WTT上咪咕"
1,6,0,1,1,��️#印尼500赛何冰娇无缘八强# 🆚女单：@何冰娇的小号 19-21、17-21 玛莉丝卡#2023年印尼羽毛球大师赛# ,1/26/2023,7,0,0,"印尼500赛何冰娇无缘八强,2023年印尼羽毛球大师赛"
1,7,0,1,1,��#WTT支线赛多哈站2023# 1月26日赛程(北京时间)：15:00 女单半决赛：蒯曼@kuaiman0207 vs@L炜珊Ss 15:35 女单半决赛：@Z张瑞Z vs@小胖子何卓佳 16:10 男单半决赛：@周恺_KG vs杜达16:45 男单半决赛：@徐瑛彬bin vs赵胜敏17:20 混双决赛：@林詩棟y /蒯曼vs@向小鹏- /@钱天一321 21:00 女双决赛：张瑞/蒯曼vs钱天一/@石洵瑶w 21:35 男双决赛：向鹏/@袁励岑a vs林兆恒/@何钧杰anson 22:10 女单决赛22:45 男单决赛@咪咕视频 全程直播本站赛事，欢迎收看👏,1/26/2023,21,12,2,WTT支线赛多哈站2023
1,13,0,2,2,『三年没有回去看望老师家乡的小城变化成什么样也不知道了每次要倒四种交通工具才能到家不过比起回家都算得了什么呢』尤子希【团圆】比特数智人好运卡，团圆是年的意义 咪咕体育的微博视频 ,1/26/2023,5,1,1,
1,6,0,1,2,@黄雅琼--- ：#雅琼的正能量日记# 新年新气象，希望自己能遇到困难时，有玩跳楼机的勇气去解决任何困难，有胆量勇往直前！妹妹也很厉害，竟然敢玩跳楼机了！也希望妹妹能勇敢自信，从容应对一切！姐妹俩新的一年一起冲冲冲！#体坛花式贺新春#  黄雅琼 黄雅琼---的微博视频 ,1/26/2023,5,0,0,"雅琼的正能量日记,体坛花式贺新春"
1,6,0,1,6,#陈清晨贾一凡画兔子是卖家秀买家秀吧# 🐰@陈小白BAOBAO 和@贾一凡_F 一起画兔子真别说！凡凡的兔子还真形象！陈姐的画更像是卖家秀了陈清晨 贾一凡 BWF世界羽联的微博视频 ,1/26/2023,16,0,0,陈清晨贾一凡画兔子是卖家秀买家秀吧
1,1,0,1,1,#杨莉娜西甲首秀# 🆚北京时间1月26日凌晨，@女足杨莉娜-NANA 上演了她留洋西班牙的首秀，但其效力的拉斯普拉纳斯客场0-7惨败于巴塞罗那女足。⚽️本场比赛，拉斯普拉纳斯客场对阵联赛领头羊巴塞罗那女足，杨莉娜身披17号球衣代表球队首发登场，迎来了她在西班牙女超联赛的首秀。⛽️此役，杨莉娜打满全场，但由于球队实力原因，拉斯普拉纳斯客场0-7惨败。目前以4胜3平9负的成绩排在积分榜第11位。#巴萨女足7比0拉斯普拉纳斯# #看足球上咪咕#,1/26/2023,15,0,0,"杨莉娜西甲首秀,巴萨女足7比0拉斯普拉纳斯,看足球上咪咕"
1,1,0,3,2,#皮克首次晒和现女友合影# 📷去年，皮克与夏奇拉分手，11月二人签署了孩子相关的协议。今天，皮克首次在与夏奇拉分手之后公开了与现女友克拉拉的合照。#看足球上咪咕# ,1/26/2023,21,2,1,"皮克首次晒和现女友合影,看足球上咪咕"
