性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,9,0,1,1,#中国女排2023年集训名单# 中国女排2023年首次集训名单公布，李盈莹、袁心玥、龚翔宇领衔，丁霞入选。在海外联赛效力的朱婷和姚迪暂未入选。中国女排2023年集训名单：王云蕗@Abyss10_王 （北京）、李盈莹@能量小瑩瑩 、@袁心玥玥玥 、@yoyo_王媛媛 （天津）、许嘉楠@嘉易溯源 、@段放Lucky 、丁霞@请叫我丁小霞 （辽宁）、高意@高小意o 、@仲慧_Jerry 、许晓婷@Tweety_10 （上海）、@龚翔宇宇宇宇bigbang 、@刁琳宇_6 、倪非凡@Yugyeomy_ 、吴梦洁@吴小梦洁 （江苏）、曾洁雅@曾洁雅曾 、陈曦悦@曦悦鸭 （浙江）、郑益昕@肥肥很蜡笔（福建）、@杨涵玉Y1012 、王梦洁@闪闪一袋糖 、杜清清@闪闪一袋詹小七 （山东）、段梦可（河南）、王逸凡@凡逸王 （广东）、缪伊雯@M-even12 （四川）,2023/1/28,15,4,0,中国女排2023年集训名单
1,1,0,3,4,#梅西夫妇出席慈善晚宴# 巴黎圣日耳曼后卫金彭贝举行慈善晚宴，梅西携妻子安东内拉出席了宴会。 ,2023/1/28,35,4,9,梅西夫妇出席慈善晚宴
1,11,0,1,2,【#谷爱凌哭了30分钟#】@青蛙公主爱凌 在训练中受伤，遗憾退出X-games比赛。背后哭了30分钟，转过头来还能微笑面对生活，这就是强者！#谷爱凌训练受伤退出XGAMES#  谷爱凌原本计划在比赛中展示新动作。 ,2023/1/28,1128,78,10,"谷爱凌哭了30分钟,谷爱凌训练受伤退出XGAMES"
1,11,0,1,2,【#谷爱凌训练受伤退出XGAMES# 】@青蛙公主爱凌 ：今天训练不幸摔伤，经检查我的膝盖没有严重损伤，只是扭伤和挫伤，但xgames没有办法参加了，我会尽快回来的。#谷爱凌训练受伤# 谷爱凌原本报名参加U槽和坡面障碍技巧的比赛。 ,2023/1/28,1395,100,21,"谷爱凌训练受伤退出XGAMES,谷爱凌训练受伤"
1,1,0,1,10,【#阿尔维斯性侵案女方有亲吻行为#】#足球闹正月# 据西班牙媒体报道，阿尔维斯性侵案出现新证据，指控阿尔维斯性侵的女子，与阿尔维斯有亲吻行为。而在此前的法庭证词中，女子否认亲吻过阿尔维斯。 ,2023/1/28,15,7,0,"阿尔维斯性侵案女方有亲吻行为,足球闹正月"
1,11,0,1,1,【#XGAMES谷爱凌出战两项#】XGames冬季极限运动会今天在美国阿斯本开赛，@青蛙公主爱凌 将不参加大跳台项目争夺，只参加U槽和坡障。#2023年XGAMES赛程# 中国选手赛程如下(北京时间)：1月29日4:30 单板滑雪女子U型池 蔡雪桐@x桐c 1月29日8:00 自由式滑雪女子U型池 谷爱凌1月29日11:00 单板滑雪男子大跳台 @苏翊鸣 1月30日2:00 自由式滑雪女子坡面障碍技巧 谷爱凌1月30日3:40 单板滑雪男子坡面障碍技巧 苏翊鸣,2023/1/28,142,21,8,"XGAMES谷爱凌出战两项,2023年XGAMES赛程"
1,11,1,1,8,#千金获年度最有价值滑手提名# 国际滑联公布年度最有价值滑冰选手入围名单，北京冬奥会冠军@谢尔巴科娃 获得提名，颁奖典礼将于2月5日举行 咪咕体育的微博视频 ,2023/1/27,48,5,3,千金获年度最有价值滑手提名
1,6,0,1,1,#印尼500赛韩悦进四强# @韩_悦 2-1逆转玛莉丝卡，晋级半决赛！三局的比分为19-21、21-8、21-16，韩悦将和马林争夺决赛权 #2023年印尼羽毛球大师赛#  ,2023/1/27,33,3,4,"印尼500赛韩悦进四强,2023年印尼羽毛球大师赛"
1,6,0,1,1,#印尼500赛刘圣书张殊贤进四强##2023年印尼羽毛球大师赛#1/4决赛，刘圣书@皮-lss @Z_殊贤 2-1战胜@谭宁-Tan @Grace夏玉婷 晋级，三局的比分为21-15、14-21、21-8，18岁的刘圣书目前国际赛事取得31连胜0负的战绩 #刘圣书国际赛事31连胜# ,2023/1/27,23,0,1,"印尼500赛刘圣书张殊贤进四强,2023年印尼羽毛球大师赛,刘圣书国际赛事31连胜"
1,4,0,1,1,【#张雨霏重启冠军之路#】CGTN环球体育记者@Zhu_Mandan 独家专访奥运冠军@o张雨霏o 完整版来啦！东京奥运会双冠王张雨霏在过去的2022年收获了4枚铜牌，经历了低谷期的她正在重启冠军之路。她认为一个奥运冠军该有的心态，就是坚守初心，即使失败了，也不能畏手畏脚，不敢继续战斗。#张雨霏的新年愿望# CGTN体育报道的微博视频,2023/1/27,23,0,1,"张雨霏重启冠军之路,张雨霏的新年愿望"
1,7,0,1,1,【#日本全锦赛伊藤美诚无缘8强#】#日本乒乓球全锦赛# 女单R16：伊藤美诚1-4横井咲樱，无缘8强。7-11/9-11/7-11/11-9/9-11。  ,2023/1/27,16,6,5,"日本全锦赛伊藤美诚无缘8强,日本乒乓球全锦赛"
