性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,2,0,1,1,#三人男篮集训名单出炉# @中国三人篮球国家队 今日公布了三人篮球男子组成年队，U23、U21三支球队的集训名单，CBA球员齐浩彤、张殿梁等球员入选。  ,2023/1/29,6,4,1,三人男篮集训名单出炉
0,1,0,1,1,#国足亚运队大名单# 备战杭州亚运会！国足亚运队集训名单：戴伟浚、朱辰杰、方昊入选后卫：梁少文、叶力江·什那尔、温家宝、朱辰杰、蒋圣龙、汪海健、孙沁涵、牛梓屹、何宇鹏、黄嘉辉、王献钧、苏士豪中前场：戴伟浚、徐越、陈国抗、方昊、刘祝润、蔡明民、张威、刘若钒、陶强龙 ,2023/1/29,21,23,14,国足亚运队大名单
0,1,0,1,1,#切尔西官宣古斯托加盟# 继续签人！切尔西官方宣布从里昂签下法国潜力右后卫古斯托，根据报道，他的转会费为3000万欧元+浮动，将在本赛季剩余阶段回租里昂 ,2023/1/29,13,3,1,切尔西官宣古斯托加盟
0,11,0,1,6,#春节摄影大赛#持续进行中，运动员们的春节是怎么过的，一起来看[兔兔拜年]@齐广璞：冠军奶爸，春节带娃。网页链接@任子威r ：冰雪大世界是每个哈尔滨孩子对于冬天的独有记忆。网页链接@Curling凌智：首钢四人组哈尔滨重聚。网页链接@陈雨菲_CYF：休整蓄力，期待健康快乐再出发。网页链接@curling许静韬：陪家人安安稳稳过了年！又该回归最热爱的冰场了。网页链接@管晨辰gcc：过年期间，也不忘运动锻炼哦。网页链接春节假期结束，快翻翻相册，带话题#春节摄影大赛#发微博，一起分享春节回忆,2023/1/29,435,19,13,"春节摄影大赛,春节摄影大赛"
0,1,0,2,10,#迪马利亚说荷兰队赛前缺乏尊重# 迪马利亚再次谈到了世界杯上阿根廷与荷兰赛后的庆祝：“我们确实是当面庆祝了，但那时在赛后，而不是在赛前。赛前采访时，我们表现的态度很尊重，斯卡洛尼在面对任何对手的时候都是如此。但荷兰人没有这么做，他们还说有梅西我们就只有10个人在跑，以及关于点球的问题。听到这些话之后，我们自然是带着怒气走上场的。”,2023/1/29,22,3,0,迪马利亚说荷兰队赛前缺乏尊重
0,7,0,1,1,#张本智和无缘三冠王##日本乒乓球全锦赛#男单决赛，张本智和以2比4（8比11、12比10、15比17、6比11、11比7、4比11）不敌户上隼辅，无缘夺冠。户上隼辅实现卫冕，是继水谷隼后第一位卫冕成功的男单球员 ,2023/1/29,29,9,0,"张本智和无缘三冠王,日本乒乓球全锦赛"
0,1,0,1,8,#热刺球迷排队向孙兴慜道歉# 今日足总杯，孙兴慜梅开二度，其中包括一脚精彩的世界波，帮助热刺3-0淘汰普雷斯顿。赛后，许多热刺球迷在社交媒体上向孙兴慜道歉 此前由于状态低迷，孙兴慜曾受到过一些热刺球迷的批评。“如果你这赛季曾质疑过孙兴慜，那你现在应该和自己好好谈谈了。状态是暂时的，实力是永恒的。”“赶紧道歉吧，我们熟悉的孙兴慜回来了。”“这才是我记忆中的孙兴慜。世界级的进球，而且是逆足脚打进的。世界上很少有人能做到这一点。”“孙兴慜的状态看上去棒极了，希望他能一直保持下去。”,2023/1/29,33,7,7,热刺球迷排队向孙兴慜道歉
0,1,0,2,4,#世界杯亚洲四强处于无帅状态##国足选帅无进展#@马德兴 报道：理论上，李霄鹏目前依然还是中国男足国家队的主教练，因为官方至今尚未宣布李霄鹏已经“下课”。所以，一方面，李霄鹏本人也在等待消息，同时也在考虑接下来国足重组事宜。马德兴直言，现在的中国足球“一没钱、二没人”，在与其他同样展开选帅工作的亚洲诸强相比完全没有优势。所以，没有取得实质性的进展也就再正常不过。#亚足联换届大会即将召开#,2023/1/29,41,25,14,"世界杯亚洲四强处于无帅状态,国足选帅无进展,亚足联换届大会即将召开"
0,1,0,1,1,#40岁佩佩生涯又一冠##波尔图葡联杯夺冠#葡萄牙联赛杯决赛，波尔图2:0击败葡萄牙体育夺冠。出生于1983年的佩佩首发出场，摘得职业生涯又一冠。4次葡超冠军，3次葡萄牙杯冠军，1次葡萄牙联赛杯冠军以及5次葡萄牙超级杯冠军。 ,2023/1/29,41,12,3,"40岁佩佩生涯又一冠,波尔图葡联杯夺冠"
0,1,0,1,5,#C罗邀请曼联队友去沙特观赛#根据英媒《太阳报》消息，C罗邀请四名曼联队友去沙特观赛。C罗离开曼联时，没有机会和队友好好告别。他日前退出了曼联群聊，但同时私下邀请了几位在曼联的好友，看看他们是否有时间去葡萄牙和他相聚，或者在时间允许的情况下去沙特看他的比赛。C罗在曼联关系最好的四名球员是马奎尔、B费、卡塞米罗、瓦拉内。#C罗退出曼联群聊#,2023/1/29,38,9,7,"C罗邀请曼联队友去沙特观赛,C罗退出曼联群聊"
0,1,0,1,1,#U20国足1比2叙利亚U20#阿联酋当地时间1月28日16点，U20国足在热身赛中1-2不敌叙利亚U20男足。 ,2023/1/29,50,26,2,U20国足1比2叙利亚U20
0,7,0,1,1,#日本乒乓球全锦赛#日本乒乓球全锦赛女单决赛，早田希娜以4比2（9比11、11比13、11比5、11比8、12比10）战胜木原美悠夺冠。早田希娜拿到女单、女双和混双三项冠军，她成为该赛事历史上第四位获得三冠王的女选手。#早田希娜成三冠王# Moonlight_Rio的微博视频 ,2023/1/29,65,9,6,"日本乒乓球全锦赛,早田希娜成三冠王"
0,2,0,1,1,#勇士球员分享兔年愿望# #库里分享兔年愿望#库里、汤普森、普尔和怀斯曼与我们分享他们的兔年愿望，希望新的一年都能实现！金州勇士的微博视频 ,2023/1/29,9,2,0,"勇士球员分享兔年愿望,库里分享兔年愿望"
0,1,0,2,4,#杜兆才陈戌源春节期间率团出访##中国足协全力支持杜兆才竞选FIFA理事#国家体育总局副局长兼中国足协副主席杜兆才以及中国足协主席陈戌源挂帅的代表团，将参加2月1日在巴林召开的第33届亚足联全体代表大会。此次亚足联代表大会直接关系到中国足球未来的国际交流与国际关系，特别是杜兆才将继续参加国际足联理事会理事职位的竞选，因而中国足协在春节前就召开专门会议，对这次代表团的组成情况、活动安排等进行了部署。中国足协的部分工作人员也放弃了春节假期，提前外出进行相关的公关工作，为谋求杜兆才的连任进行最后的游说。,2023/1/29,31,11,3,"杜兆才陈戌源春节期间率团出访,中国足协全力支持杜兆才竞选FIFA理事"
