性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,2,1,⚽️#各联赛主裁将向球迷公开VAR判罚# 根据记者James Sharpe的报道，各联赛的当值主裁将于本周首次向球场观众宣布VAR判罚，官方希望此举是公开裁判判罚过程的第一步。不过裁判与VAR之间的沟通仍然被设立相关法规的管理机构IFAB禁止向公众公开。#看足球上咪咕# ,1/29/2023,9,0,0,"各联赛主裁将向球迷公开VAR判罚,看足球上咪咕"
0,3,1,1,1,恭喜小德！#德约科维奇澳网十冠王##德约科维奇澳网28连胜# 🆕#澳网2023#男单决赛终章大戏谢幕！德约科维奇大比分3比0战胜对手夺得冠军！🎾德约科维奇最新战绩：第22座大满贯桂冠！澳网十冠王！重返世界第一宝座！ ,1/29/2023,268,10,33,"德约科维奇澳网十冠王,德约科维奇澳网28连胜,澳网2023"
0,11,0,1,1,��#安贤洙落选韩国城南市厅短道教练# 🎙️韩媒最新消息称，进入最终候选名单的只有2-3人，安贤洙不在其中。韩媒还指，城南市厅短道速滑队不仅看重候选人的技术能力，还看重候选人的领导能力和他与运动员之间的沟通交流能力。🎙️担任城南市厅短道速滑队教练的最终人选将于1月31日公布。 ,1/29/2023,283,34,9,安贤洙落选韩国城南市厅短道教练
0,1,0,1,1,⚽️#国足亚运队大名单#公布！🔥备战杭州亚运会！国足亚运队集训名单：戴伟浚、朱辰杰、方昊入选后卫：梁少文、叶力江·什那尔、温家宝、朱辰杰、蒋圣龙、汪海健、孙沁涵、牛梓屹、何宇鹏、黄嘉辉、王献钧、苏士豪中前场：戴伟浚、徐越、陈国抗、方昊、刘祝润、蔡明民、张威、刘若钒、陶强龙、陈国抗 #看足球上咪咕#,1/29/2023,17,4,1,"国足亚运队大名单,看足球上咪咕"
0,12,0,1,1,【2023LPL春季赛第一周&第二周最数据】最高KDA：@NIP-zhuo 最高场均15分钟经济差：@Ahn安安安 最高场均视野得分：TT.XinLiu 最高分均补刀：EDG.Leave 最高分均承伤：IG.neny 最高分均伤害：@Ahn安安安 *由于赛程原因，入选选手本周比赛场数不同，部分数据会受比赛场数影响，本榜单仅供参考#2023LPL春季赛##2023LPL##看LPL上咪咕# ,1/29/2023,2,0,0,"2023LPL春季赛,2023LPL,看LPL上咪咕"
0,12,0,1,1,【2023LPL第一周&第二周趣味数据】@WBG-TheShy 操刀，奈德丽上单首次登上LPL赛场；IG.YSKM赛场高光，豪取四次对位单杀；@WE电子竞技俱乐部 时隔300天后再次在LPL中获得大场胜利。#2023LPL春季赛##看LPL上咪咕# ,1/29/2023,11,1,0,"2023LPL春季赛,看LPL上咪咕"
0,1,0,1,1,��官宣：#切尔西官宣古斯托加盟# 🎙️官方宣布：马洛·古斯托从里昂转会加盟切尔西，签约至2030年。  ⚽️19岁的法国右后卫将在本赛季剩余时间以租借的方式继续留在里昂效力。  #看足球上咪咕# ,1/29/2023,9,2,2,"切尔西官宣古斯托加盟,看足球上咪咕"
0,1,0,1,1,#38岁巴里奥斯复出并进球# 曾效力广州恒大的巴拉圭前锋卢卡斯-巴里奥斯在去年夏天宣布退役，但今年年初他又复出并加盟巴拉圭甲级联赛升班马特立尼登斯。新赛季联赛首轮，马特立尼登斯击败Tacuary FC，38岁的巴里奥斯在第62分钟完成破门。#看足球上咪咕# 咪咕足球的微博视频 ,1/29/2023,4,1,1,"38岁巴里奥斯复出并进球,看足球上咪咕"
0,1,0,2,2,#昆明出现爷爷足球队# @央视新闻 报道了一支来自云南昆明的“爷爷足球队”，这支“爷爷足球队”的球员大多数已经退休，很多人中，每周雷打不动两次训练。几年前，老人们筹措资金建了这个运动场，虽然简陋，但已然成为了他们的精神家园。#足球的本质是运动不是世界排名#国足 @央视新闻 咪咕足球的微博视频,1/29/2023,21,1,1,"昆明出现爷爷足球队,足球的本质是运动不是世界排名"
0,7,0,1,1,��#张本智和无缘三冠王#🏓️#日本乒乓球全锦赛#男单决赛，张本智和以2比4（8比11、12比10、15比17、6比11、11比7、4比11）不敌户上隼辅，无缘夺冠。 ,1/29/2023,123,19,17,"张本智和无缘三冠王,日本乒乓球全锦赛"
0,11,0,1,1,#XGAMES男子项目有多卷#·1800只是入场券，1980本场两人成功·每轮动作满分50，本场两个49分·裁判会根据原创性、难度、创造力、风格和飞行轨迹进行评分，难度已经不是最主要的，选手们要有自己的风格，动作还必须具有创造性 @苏翊鸣 凭借完美的1980+1800获得铜牌，在和强手过招中发现更好的自己，应了那句老话：天空才是他的极限#苏翊鸣1980太帅了#,1/29/2023,529,34,17,"XGAMES男子项目有多卷,苏翊鸣1980太帅了"
0,2,0,1,1,#NBA今日之星# 恩比德暴砍47+18，76人逆转掘金取7连胜；欧文末节天神下凡，篮网战胜尼克斯布里奇斯攻防一体锁胜局，太阳加时胜马刺；湖人遭争议判罚，加时惜败凯尔特人今日NBA共进行11场比赛，快来评选出你心中的MVP#看NBA上咪咕# 网页链接 ,1/29/2023,1074,9,1,"NBA今日之星,看NBA上咪咕"
0,2,0,1,1,#詹姆斯给裁判跪了# 老詹：我没有就那个犯规没吹去和联盟沟通，他们想做什么都可以，没人可以改变浓眉：我们被坑了，联盟应该对那个裁判进行罚款哈姆：我不想再看到裁判报告了，省省吧裁判：裁判组没看到那个犯规，我们错过了那个回合你对于本场#湖人凯尔特人判罚# 有什么想说的？#看NBA上咪咕# 咪咕体育的微博视频,1/29/2023,31,14,3,"詹姆斯给裁判跪了,湖人凯尔特人判罚,看NBA上咪咕"
0,2,0,1,1,#凯尔特人战胜湖人# 湖人绿军恩怨再添新素材，裁判争议判罚让詹姆斯错失绝杀，加时赛布朗独得11分奠定胜局，最终凯尔特人125-121力克湖人，结束3连败数据：#詹姆斯41分9篮板#8助攻、浓眉16分10篮板4助攻；塔图姆30分11篮板、布朗37分9篮板#看NBA上咪咕# 咪咕篮球的微博视频 ,1/29/2023,15,1,1,"凯尔特人战胜湖人,詹姆斯41分9篮板,看NBA上咪咕"
0,2,0,1,1,#贝弗利补扣# 惊呆全场的补扣是什么样的？还得是贝弗利神兵天降，锁定今日五佳球#看NBA上咪咕# 篮球记事本的微博视频 ,1/29/2023,5,1,1,"贝弗利补扣,看NBA上咪咕"
0,11,0,1,1,#苏翊鸣1980太帅了# 凭借最后一轮完美的1980，@苏翊鸣 拿到X-games单板滑雪男子大跳台铜牌明日3:40单板滑雪男子坡面障碍技巧，为小鸣这个夜得熬#苏翊鸣XGames夺铜# XGamesChina的微博视频 ,1/29/2023,160,10,10,"苏翊鸣1980太帅了,苏翊鸣XGames夺铜"
