性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,首发出任队长招牌头槌任意球造险 C罗沙超杯半决赛个人集锦#吉达联合3比1利雅得胜利# #C罗无缘沙超杯决赛# PP体育的微博视频 ,2023/1/27,51,9,0,"吉达联合3比1利雅得胜利,C罗无缘沙超杯决赛"
0,1,0,1,1,沙超杯-C罗头球造险塔利斯卡破门 利雅得胜利1-3吉达联合无缘决赛#吉达联合3比1利雅得胜利# #C罗无缘沙超杯决赛# PP体育的微博视频 ,2023/1/27,61,10,7,"吉达联合3比1利雅得胜利,C罗无缘沙超杯决赛"
0,1,0,1,1,国王杯-罗德里戈一条龙本泽马破门 皇马3-1逆转10人马竞晋级四强#皇马3比1马竞##罗德里戈一条龙# PP体育的微博视频 ,2023/1/27,184,15,39,"皇马3比1马竞,罗德里戈一条龙"
0,1,0,1,1,联赛杯-拉什福德一条龙爆射，韦霍斯特处子球，曼联3-0诺丁汉森林占先机。#曼联#曼联 PP体育的微博视频 ,2023/1/26,26,6,11,曼联
0,1,0,1,1,国王杯-孔德助攻登贝莱制胜，久保健英中柱，巴萨1-0十人皇社挺进半决赛#巴塞罗那#巴塞罗那 PP体育的微博视频 ,2023/1/26,20,2,6,巴塞罗那
0,1,0,1,1,德甲-施韦贝神扑基米希世界波救主，拜仁1-1绝平科隆，联赛两连平#拜仁慕尼黑#拜仁慕尼黑 PP体育的微博视频 ,2023/1/25,36,3,18,拜仁慕尼黑
0,1,0,1,1,意甲-米兰全队低迷0-4惨败拉齐奥，近两场进0球丢7球，距离榜首12分#AC米兰#AC米兰 PP体育的微博视频 ,2023/1/25,15,6,5,AC米兰
0,1,0,1,1,米兰全队低迷0-4惨败拉齐奥，各项赛事5场不胜，近两场进0球丢7球。北京时间1月25日03:45，拉齐奥在意甲迎战AC米兰。上半场托莫里伤退，米林科维奇禁区推射破门，扎卡尼禁区补射破门扩大比分，下半场阿尔贝托点射命中，费利佩推射破门。最终拉齐奥4-0战胜AC米兰，米兰各项赛事5场不胜，近两战进0球丢7球。#AC米兰#AC米兰,2023/1/25,8,1,11,AC米兰
0,1,0,1,4,内马尔姆巴佩领衔 大巴黎祝中国球迷新春快乐大展宏兔 PP体育的微博视频 ,2023/1/21,78,14,4,
0,1,0,2,1,近10轮英超6负3胜！孔蒂还能带热刺争四吗？❌ 0-2曼联（客场）❌ 0-1纽卡斯尔联（主场）✅ 3-2伯恩茅斯（客场）❌ 1-2利物浦（主场）✅ 4-3利兹联（主场）🤝 2-2布伦特福德（客场）❌ 0-2阿斯顿维拉（主场）✅ 4-0水晶宫（客场）❌ 0-2阿森纳（主场）❌ 2-4曼城（客场） ,2023/1/21,12,7,14,
