性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,西甲-巴萨1-0客胜马竞3分领跑 登贝莱一击制胜第22分钟，佩德里前场1V3强行突破后分球，加维横传右路空当，登贝莱推射球门远角得手，巴萨1-0领先；第62分钟，孔德后场长传发动进攻，登贝莱禁区右侧推射，皮球被马竞球员封堵后击中球门立柱。第73分钟，巴萨开出前场右侧角球，阿劳霍、孔德完成头球接力，替补登场的托雷斯胸部停球劲射破门；可惜托雷斯越位在先，进球被判无效。下半场补时第2分钟，托雷斯与萨维奇扭打在一起，主裁判向双方出示红牌，将二人集体罚出场外。下半场补时第4分钟，科雷亚右路低平球横扫门前，格列兹曼的射门越过特尔施特根，阿劳霍上演门线解围力保城门不失。#西甲##巴萨1比0马竞##萨维奇染红#,2023/1/9,16,0,102,"西甲,巴萨1比0马竞,萨维奇染红"
0,1,0,1,1,意甲-罗马2-2绝平米兰 亚伯拉罕补时救主第30分钟，托纳利助攻卡卢卢首开纪录，米兰1-0领先；第77分钟，莱奥助攻波贝加再下一城，米兰2-0领先；第87分钟，佩莱格里尼利用角球机会助攻伊巴涅斯扳回一球，罗马1-2落后；下半场补时第3分钟，罗马利用前场右路任意球机会传中，马蒂奇近距离头球攻门被塔塔鲁萨努扑出，亚伯拉罕机警补射破门，罗马2-2绝平米兰！#意甲##米兰2比2罗马##亚伯拉罕补时绝平#,2023/1/9,13,1,1,"意甲,米兰2比2罗马,亚伯拉罕补时绝平"
0,1,0,1,1,足总杯-曼城4-0淘汰切尔西  马赫雷斯双响第23分钟，马赫雷斯任意球直接破门，曼城1-0领先！第30分钟，哈弗茨禁区内手球送点，阿尔瓦雷斯点射命中，曼城2-0领先！第38分钟，沃克助攻福登破门扩大领先优势，曼城4-0领先！第85分钟，库利巴利禁区内放倒福登送点，马赫雷斯点射破门，曼城4-0锁定胜局！#足总杯##曼城4比0切尔西##曼城三杀切尔西#,2023/1/9,16,8,215,"足总杯,曼城4比0切尔西,曼城三杀切尔西"
0,1,0,1,4,上海外滩梅西世界杯夺冠主题灯光秀 PP体育的微博视频 ,2023/1/8,980,77,7,
0,1,0,1,1,官方消息，斯卡洛尼当选IFFHS（国际足球历史和统计联合会）评选2022年度最佳国家队教练。具体排行：（教练 执教国家队 评分）1、斯卡洛尼 阿根廷 240分2、德尚 法国 45分3、雷格拉吉 摩洛哥 30分4、达利奇 克罗地亚 20分5、森保一 日本 15分6、范加尔 荷兰 10分6、伯哈尔特 美国 10分8、勒纳尔 沙特阿拉伯 5分9、蒂特 巴西 5分10、本托 韩国 5分,2023/1/8,26,8,0,
0,1,0,1,1,足协杯1/4决赛次回合，上海海港4-0成都蓉城，两回合总比分8-0晋级四强。上半场，武磊头球顶空门得手。下半场，刘祝润、奥斯卡、阿布拉汗先后进球。 #上海海港晋级足协杯4强##奥斯卡传射##武磊破门# ,2023/1/8,15,8,1,"上海海港晋级足协杯4强,奥斯卡传射,武磊破门"
0,1,0,1,1,足协杯1/4决赛次回合，浙江2-1双杀济南兴洲，总比分5-1晋级四强，半决赛将对阵海港vs蓉城的胜者。上半场，高迪补射为浙江队首开纪录；下半场，高迪接顾斌助攻单刀破门完成梅开二度，谭天澄破门扳回一球！ #济南兴洲1比2浙江队##浙江队晋级足协杯4强##高迪梅开二度# ,2023/1/8,9,0,0,"济南兴洲1比2浙江队,浙江队晋级足协杯4强,高迪梅开二度"
0,1,0,1,1,足协杯半决赛次回合成都蓉城vs上海海港首发出炉，奥斯卡回归首发，武磊首发，海港三外援对阵蓉城全华班。上海海港首发：1-颜骏凌、32-李帅、13-魏震、15-李申圆、21-于海、8-奥斯卡、16-徐新、25-买提江、7-武磊、9-保利尼奥、24-巴尔加斯成都蓉城首发：13-胡靖、15-吴贵超、18-闵俊麟、21-孟俊杰（U21）、22-胡星宇（U21）、23-冉伟枫（U21）、27-刘斌、31-杨挺、37-韩轩、66-周耘屹、77-戴文豪,2023/1/8,8,2,1,
0,1,0,1,1,足总杯-利物浦2-2狼队 阿利松失误送大礼第26分钟，利物浦后场传倒球出现失误，格德斯禁区内抢断阿利松后打空门得手，狼队客场1-0取得领先！第45分钟，阿诺德中场右侧45度传中，努涅斯轻松推射破门，利物浦1-1扳平比分！第52分钟，加克波前场左路45度传中，托蒂-戈麦斯头球解围失误，不慎顶向自己球门，萨拉赫停球射门一气呵成，利物浦2-1反超比分！第66分钟，黄喜灿斜塞左肋空当，库尼亚倒三角回传，黄喜灿抢前点破门，狼队2-2扳平比分！第81分钟，狼队利用角球机会发起进攻，努内斯禁区左侧低平球传中被挡，黄喜灿斜传右路，托蒂-戈麦斯脚后跟破门。经过VAR审核，认定努内斯接球瞬间越位，进球被判无效。全场战罢，利物浦2-2战平狼队，两队将移师狼队主场择日重赛。#利物浦2比2狼队##阿利松低级失误##努涅斯破荒#,2023/1/8,18,2,206,"利物浦2比2狼队,阿利松低级失误,努涅斯破荒"
0,1,0,1,1,补时绝平！意甲-蒙扎2-2逼平国米第10分钟，巴斯托尼前场左路45度传中，迪马尔科斜插抢点破门，国米1-0领先！第11分钟，佩西纳前场右路连续晃动后横传至禁区，丘里亚禁区右侧搓射球门远角得手，蒙扎1-1扳平比分！第22分钟，蒙扎后场传倒球出现失误，劳塔罗前场抢断马里推射空门得手，国米2-1再次取得领先！第81分钟，阿斯拉尼主罚前场左侧任意球传中，阿切尔比头球破门，主裁判认定攻方犯规在先，进球被判无效。第84分钟，巴斯托尼左路内切突入禁区，劳塔罗兜射球门远角击中球门立柱。下半场补时第3分钟，丘里亚右路45度传中，卡尔迪罗拉头球破门，蒙扎2-2绝平国米！#国米2比2蒙扎#,2023/1/8,12,5,1,国米2比2蒙扎
0,1,0,1,1,意甲-尤文1-0绝杀乌迪内斯豪取8连胜第19分钟，迪马利亚主罚前场左侧任意球传中，鲁加尼头球攻门被对方门将神勇扑出。第51分钟，迪马利亚前场连续晃动后射门被挡，米雷蒂胸部停球后挑球，小基恩凌空抽射稍稍高出横梁。第86分钟，帕雷德斯中路过顶斜长传打乌迪内斯身后，小基耶萨胸部停球后将皮球打向后点，达尼洛打空门得手，尤文1-0绝杀对手！#尤文1比0乌迪内斯##尤文意甲8连胜#,2023/1/8,40,7,3,"尤文1比0乌迪内斯,尤文意甲8连胜"
0,1,0,1,1,西甲-皇马客场1-2不敌黄潜遭遇新年首败 本泽马点射难救主第5分钟，杰拉德-莫雷诺分球左路，阿尔贝托-莫雷诺低平球横扫门前，科克兰脚后跟射门击中远端球门立柱。第47分钟，费兰-门迪后场出球被断，杰拉德-莫雷诺斜塞左路空当，皮诺停球劲射破门，比利亚雷亚尔1-0领先！第56分钟，皇马挑传禁区，维尼修斯低平球横传门前，本泽马推射空门被对方后卫用身体挡出底线。主裁判经过视频助理裁判提醒，到场边观看视频回放后认定福伊特在禁区内手球犯规，判给皇马点球。本泽马骗过雷纳，将皮球射入球门右下角，皇马1-1扳平比分！第61分钟，福伊特前场直塞，阿拉巴意外滑倒，皮球击中阿拉巴手臂，主裁判果断判罚点球。杰拉德-莫雷诺主罚点球命中，比利亚雷亚尔2-1再次取得领先！下半场补时第9分钟，皇马获得角球机会，库尔图瓦冲入对方禁区参与进攻。黄潜成功防守后顺势发动快速反击，丹朱马35码外超远距离推射空门打偏。#皇马1比2黄潜##皇马后防天团#,2023/1/8,13,4,0,"皇马1比2黄潜,皇马后防天团"
0,1,0,1,1,足总杯第3轮，热刺1-0击败朴茨茅斯，晋级足总杯第4轮，凯恩打进制胜球。 ,2023/1/7,17,3,0,
0,1,0,1,1,今日西班牙足协官方公布了国王杯1/8决赛的抽签结果，皇马遭遇比利亚雷亚尔，巴萨则将与西班牙第三级别联赛球队休达交手。具体对阵情况如下：休达VS巴塞罗那莱万特VS马竞希洪竞技VS瓦伦西亚阿拉维斯VS塞维利亚贝蒂斯VS奥萨苏纳比利亚雷亚尔VS皇马皇家社会VS马洛卡毕尔巴鄂竞技VS西班牙人 ,2023/1/7,7,1,1,
0,1,0,1,1,切尔西一线队10人受伤，只差一名中后卫组成433…切尔西官方消息，球队门将门迪训练中手指骨折，已成功接受手术。此前门迪还有肩部伤势。切尔西伤病情况门将：门迪（肩部+手指）后卫：奇尔维尔（腿筋）、福法纳（膝盖）、里斯-詹姆斯（膝盖）中场：芒特（撞伤）、坎特（腿筋）、奇克（小腿）前锋：普利西奇（膝盖）、布罗亚（十字韧带）、斯特林（腿筋）,2023/1/7,35,10,7,
0,1,0,1,1,足协杯1/4决赛次回合，山东泰山3-0武汉三镇，两回合总比分6-1晋级四强。上半场，杨阔送点，莫伊塞斯主罚命中，孙准浩任意球世界波。下半场，孙准浩助攻，莫伊塞斯双响。#山东泰山晋级足协杯4强##武汉三镇0比3山东泰山##中国足协杯# ,2023/1/7,9,1,0,"山东泰山晋级足协杯4强,武汉三镇0比3山东泰山,中国足协杯"
0,1,0,2,1,官方：法国队主帅德尚续约至2026年官方公告：“法国足协及其主席诺埃尔-勒格拉埃很高兴地宣布迪迪埃-德尚在法国队的任期延长至2026年6月。“德尚于2012年7月9日由勒格拉埃任命，他率领国家队139场比赛取得89胜28平22负的出色战绩，攻入279球，失119球。“在他的带领下，法国队夺得2018年世界杯冠军、2021年欧洲国家联赛冠军、打进2016年欧洲杯决赛和2022年世界杯决赛，目前FIFA排名世界第三，过去五年一直在FIFA排名前四。“德尚的助手盖伊-斯蒂芬、门将教练弗兰克-拉维奥和体能教练西里尔-莫因也将继续他们在法国队的使命。”,2023/1/7,23,5,3,
0,1,0,1,1,"足协杯1/4决赛次回合，上海申花2-0沧州雄狮,总比分7-1双杀沧州雄狮晋级四强！上半场，何龙海助攻费尔南多为申花取得领衔。下半场，齐龙错失单刀，补时阶段，杨泽翔破门锁定胜局！ ",2023/1/7,5,0,0,
0,1,0,1,1,官方消息，梅西当选IFFHS评选2022年度组织核心，这也是梅西第五次当选（哈维曾在2007年至2011年当选过四次）。此前，梅西在2015、2016、2017、2019年四次当选年度组织核心。梅西2022年共打进35球，助攻30次，夺得世界杯冠军、欧美杯冠军、法甲冠军和法国超级杯。IFFHS2022年年度组织核心得分排名：1.梅西：170分2.莫德里奇：115分3.德布劳内：40分4.B费：25分5.格列兹曼：20分5.B席：20分7.埃里克森：10分7.塔迪奇：10分9.克罗斯：5分9.齐耶赫：5分,2023/1/7,29,9,2,
0,1,0,1,1,据沙特媒体arriyadiyah独家消息，利雅得胜利与30岁的喀麦隆前锋阿布巴卡尔解约，完成C罗在一线队的注册。阿布巴卡尔与俱乐部的合同原本2024年夏天结束。利雅得胜利需要一名球员离开才能完成C罗的注册，俱乐部做出阿布巴卡尔离队的决定。利雅得胜利在昨天与阿尔泰的赛前，已经与喀麦隆前锋阿布巴卡尔终止合同。根据此前的报道，阿布巴卡尔收到了两个报价，一个来自曼联，一个来自费内巴切。,2023/1/7,29,8,1,
0,1,0,1,8,我没见过18岁的罗纳尔多，但我见过24岁的拉什福德北京时间1月7日4:00，足总杯第三轮，曼联坐镇主场迎战埃弗顿。上半场，拉什福德助攻安东尼破门。德赫亚出现严重失误，乌龙助攻考迪，埃弗顿扳平比分。下半场，拉什福德个人秀突破传中造成考迪自摆乌龙。伤停补时阶段，加纳乔造点，拉什福德点射锁定胜局。最终曼联3-1力克埃弗顿晋级下一轮。曼联#足总杯#,2023/1/7,35,9,209,足总杯
0,1,0,1,1,瓦斯科达伽马官方宣布，俱乐部同意将安德雷-桑托斯永久转会至切尔西。   现年18岁的安德雷-桑托斯在2021年代表瓦斯科达伽马完成首秀，成为球队本世纪最年轻的出场球员。    目前，安德雷-桑托斯代表瓦斯科达伽马一线队出场38次，打入8球。据此前媒体报道称，固定转会费为1250万欧，目前德国转会市场身价为1000万欧。,2023/1/6,15,6,211,
0,1,0,1,1,利雅得胜利首发：C罗无缘大名单 利雅得胜利首发：25-奥斯皮纳、2-哈纳姆、5-阿卜杜拉-阿姆里、21-阿尔瓦罗-冈萨雷斯、78-奥贾米、10-贡萨洛-马丁内斯、14-纳吉、17-哈巴利、18-古斯塔沃、94-塔利斯卡、77-马沙里波夫利雅得胜利替补：33-阿卜杜拉、4-法蒂尔、20-曼苏尔、27-马吉德、8-苏莱西姆、19-哈桑、23-叶海亚、29-加里卜、30-阿利瓦据沙特媒体报道，由于沙特联赛限定8名外援的上限，需要有一名球员离开利雅得胜利，C罗才能完成注册，而在注册后C罗还需要执行两场禁赛处罚才能迎来首秀。#c罗无缘大名单#,2023/1/6,44,11,2,c罗无缘大名单
0,1,0,1,1,利物浦主帅克洛普确认范戴克将伤缺几周甚至一个多月“范戴克对我们来说是一个很大的打击，他并没有感觉到很痛苦。实际上，我把他撤了下来，最后的诊断结果相当严重。几周，或者一个多月，希望能快点结束。这是肌肉的问题，没什么不同，在那一刻，有一次过度的冲刺导致的。” ,2023/1/6,11,2,1,
0,1,0,1,1,IFFHS公布了2022年年度世界最佳门将，皇马和比利时门将库尔图瓦凭借出色表现当选。1.库尔图瓦：（比利时，125分）2.大马丁：（阿根廷，110分）3.布努：（摩洛哥，55分）4、利瓦科维奇（克罗地亚，30分）5、洛里（法国，25分）6、什琴斯尼（波兰，15分）7、奥布拉克（斯洛文尼亚，10分）/阿利森（巴西，10分）并列9、皮克福德（英格兰，5分）/迈尼昂（法国，5分）并列,2023/1/6,13,5,1,
0,1,0,1,2,R.I.P.意大利名宿维亚利因胰腺癌去世 享年58岁#维亚利去世# 维亚利在2017年患上胰腺癌，2022年12月14日，维亚利宣布将专注于克服疾病，暂时离开意大利国家队。12月20日，多家媒体报道他的病情恶化，在伦敦住院。维亚利球员时期司职前锋，1984-1992年效力桑普多利亚，出场328次，打进141球。另外，维亚利还曾效力于尤文图斯、克雷莫内塞和切尔西，在1996年作为队长率领尤文赢得欧冠冠军。国家队生涯中，维亚利为意大利队出场59次，打进16球。2019年10月，维亚利出任意大利国家队领队，在2021年随队赢得欧洲杯冠军。,2023/1/6,14,9,15,维亚利去世
0,1,0,2,1,比利时媒体HLN消息，亨利私下告知比利时足协，他希望成为新的国家队主帅。据HLN透露，亨利还没有正式申请。2016年8月，亨利出任比利时国家队助理教练。亨利还担任过天空体育的分析师。 2018年10月至2019年1月，亨利担任摩纳哥足球俱乐部主帅。 2019年11月至2021年2月，亨利担任美国大联盟蒙特利尔冲击足球俱乐部主帅。2021年8月30日，比利时国家队官方宣布亨利将继续在比利时国家队教练组任职。,2023/1/6,10,4,2,
0,1,0,1,2,正在美国行的足球球星姆巴佩游览尼克宇宙乐园，与忍者神龟米开朗基罗联动合照 ,2023/1/6,46,6,6,
0,1,0,1,1,切尔西签下摩纳哥后卫巴迪亚西勒 合同至2030年切尔西官方宣布巴迪亚西勒完成了从摩纳哥转会到切尔西的永久转会，他与球队签下了一份7年半的合同。根据罗马诺的说法，巴迪亚西勒的转会费约为3800万欧元。巴迪亚西勒身高6英尺4英寸，是一名有空中优势后卫，但同样能自如地驾驭脚下的球，短传稳健，也能用更长的对角线传球完成转移。他的速度是一个关键的特点，能够胜任三中卫和四后卫阵型。切尔西,2023/1/5,17,7,209,
0,1,0,1,1,利雅得胜利官方：因雨后电力出现故障，今晚联赛推迟至明天进行，总裁首秀还要再等等北京时间1月5日傍晚，利雅得胜利官方宣布：由于雨后体育场出现电力故障，球队决定推迟今晚的比赛。如果上帝允许，明天周五比赛将顺利进行。据悉，比赛将推迟24个小时，将在北京时间1月6日24:00举行C罗 ,2023/1/5,47,13,2,
0,1,0,1,1,加尔蒂：梅西不会在法国杯中出场，他从未要求在主场举办庆祝活动巴黎将在周中的法国杯比赛中迎战沙托鲁，北京时间1月5日傍晚，巴黎主帅加尔蒂出席了赛前新闻发布会，他表示梅西不会在明天的比赛中出场。加尔蒂表示：很明显，梅西明天不会上场。我们确保他为下一场比赛做好了准备，我们在沟通后看看他在恢复过程中感觉如何。巴黎圣日耳曼梅西,2023/1/5,30,1,107,
0,1,0,1,1,足协杯-浙江3-0济南兴洲 高迪世界波赵博2扑点球足协杯1/4决赛首回合，浙江迎战济南兴州。上半场高迪世界波破门，成源主罚点球被赵博扑出，下半场姚均晟和王东升先后破门，赵博扑出祝一帆点球，最终浙江队3-0击败济南兴洲，次回合将于1月8日进行。#足协杯##浙江FC##济南兴洲# ,2023/1/5,10,2,111,"足协杯,浙江FC,济南兴洲"
0,1,0,1,1,足协杯-海港4-0蓉城占得先机 武磊传射王燊超吕文君建功足协杯1/4决赛首回合，上海海港对阵成都蓉城，海港三外援对阵全华班，上半场卡隆助攻王燊超打破场上僵局，蒋光太头球中柱，半场战罢海港1-0领先。下半场易边再战，吕文君头球建功，替补登场的武磊助攻卡隆破门，伤停补时阶段武磊攻入锁定比分的进球，最终上海海港4-0成都蓉城，两回合比赛占得先机。#足协杯#上海海港,2023/1/5,10,3,106,足协杯
0,1,0,2,3,北方某俱乐部总经理李某被带走？国安官博晒李明工作照“辟谣”据国安俱乐部官博报道，今天国安俱乐部总经理李明来到训练基地考察，为新赛季球队保障进行准备工作。李明带领相关俱乐部团队今天来到训练基地考察，为新赛季球队保障进行准备工作。2023年，国安俱乐部将进一步提升训练场地质量，完善训练设施数量，为一队及各青训梯队提供支持。近期，媒体人冉雄飞透露李铁事发后，有关的北方某俱乐部总经理李某和南方某俱乐部丁总据传被带走协助调查。而国安俱乐部公布李明今天的动向，则驳斥了“北方某俱乐部总经理李某被带走”的传闻。#国安#,2023/1/5,23,9,3,国安
0,1,0,1,9,B/R动画-C罗：我在欧洲的工作已经完成 我赢得了一切 PP体育的微博视频 ,2023/1/5,20,5,3,
0,1,0,1,1,国王杯-巴萨加时4-3城际CF 登贝莱挑射拉菲尼亚、法蒂破门#巴萨# PP体育的微博视频 ,2023/1/5,9,6,3,巴萨
0,1,0,1,1,苏亚雷斯亮相格雷米奥，受到5万球迷欢迎。 PP体育的微博视频 ,2023/1/5,44,5,3,
0,1,0,1,1,维拉门将马丁内斯英超赛前展示世界杯金手套，球迷起立鼓掌。 PP体育的微博视频 ,2023/1/5,212,22,4,
0,1,0,1,9,名记：恩佐谈判告吹 本菲卡告知蓝军必须一次付清1.2亿欧TyC记者César Luis Merlo独家消息，切尔西与本菲卡就恩佐的谈判已经破裂，在几天的谈判后，本菲卡已经放弃以非解约金的方式出售恩佐。该记者称，本菲卡已经告知切尔西，想买恩佐就必须付1.2亿欧违约金，并且必须一次性付清。 ,2023/1/5,55,20,111,
0,1,0,1,1,意甲第16轮，国米1-0送那不勒斯联赛首败。哲科头槌制胜，迪马尔科献助攻。那不勒斯遭遇本赛季联赛首败，11连胜遭终结。 ,2023/1/5,24,2,110,
0,1,0,1,1,国王杯-皇马客场1-0卡塞雷诺晋级 罗德里戈一击制胜 #国王杯# ,2023/1/4,17,2,109,国王杯
0,1,0,1,1,英超第19轮，曼联3-0伯恩茅斯取4连胜。上半场卡塞米罗首开纪录，范德贝克伤退，下半场卢克-肖扩大比分，德赫亚救险，拉什福德连场破门。 #曼联3-0伯恩茅斯# ,2023/1/4,13,1,109,曼联3-0伯恩茅斯
0,1,0,1,1,亮相仪式结束后，C罗开始了在利雅得胜利的第一次训练。 PP体育的微博视频 ,2023/1/4,114,20,2,
0,1,0,1,1,C罗正式亮相利雅得胜利！ PP体育的微博视频 ,2023/1/4,74,10,7,
0,1,0,1,1,C罗：我在欧洲有很多机会，有巴西、美国、葡萄牙球队想要签下我C罗出席亮相仪式发布会，他表示：到目前为止，我感觉非常好。我很自豪在我的人生中做出了这个重大的决定。在欧洲，我的工作已经完成了。我赢得了一切，我效力过欧洲最重要的球队。对我来说，现在是新的挑战。对于我来说，这是一个很好的机会，不仅是为了足球同时也是为了改变下一代的心态。我在欧洲有很多机会，还有巴西、澳大利亚、美国和葡萄牙的俱乐部，他们尝试签下我，但是我给了这家俱乐部承诺，不仅是帮助他们发展足球方面，还有这个美妙的国家的其他部分。我知道我想要的，这是一个这是帮助成长和加分的好机会。我真的不担心人们怎么说。 我真的非常高兴来到这里。我知道（沙特）联赛竞争非常激烈，我已经看了很多场比赛。如果教练认为有机会的话，我希望球队下一场比赛就能登场，我已经准备好继续职业生涯了。我是一名独一无二的球员，来到这非常好。我在那里（欧洲）打破了所有纪录，我想在这里也打破一些纪录。这份合同很特别，但我也是一个很特别的球员，所以这对我来说很正常。,2023/1/4,75,32,114,
0,1,0,1,1,C罗抵达沙特利雅得，体检完成。 ,2023/1/3,26,5,2,
0,1,0,1,9,一顿操作猛如虎，仔细一看原地杵！日本全国高等学校足球锦标赛惊现奇葩任意球配合 PP体育的微博视频 ,2023/1/3,50,27,119,
0,1,0,1,1,五大联赛2022年度点球进球榜：本泽马8球最多1.本泽马（皇家马德里，8球）2.塔迪厄（特鲁瓦，7球）3.帕耶（马赛，6球）4.哈兰德（曼城，多特蒙德，6球）5.本耶德尔（摩纳哥，6球）6.格里福（弗赖堡，6球）7.伊万-托尼（布伦特福德，6球）8.因西涅（那不勒斯，多伦多FC，5球）9.德洛尔（尼斯，5球）10.伊格莱西亚斯（皇家贝蒂斯，5球）,2023/1/3,35,13,107,
0,1,0,1,3,在签下C罗后，利雅得胜利的Instagram账号粉丝暴涨9倍：由原来的86万增长至630万，且这一数字仍在持续增长之中。利雅得胜利社媒的粉丝数已超过了那不勒斯、罗马、埃弗顿等欧洲五大联赛知名俱乐部。利雅得胜利：630万罗马：520万帕尔梅拉斯：430万那不勒斯：330万埃弗顿：280万马赛：260万西汉姆联：230万勒沃库森：210万塞维利亚：180万纽卡斯尔：130万#C罗加盟让利雅得胜利粉丝数暴涨# #c罗加盟后利雅得粉丝暴涨9倍#,2023/1/3,586,165,8,"C罗加盟让利雅得胜利粉丝数暴涨,c罗加盟后利雅得粉丝暴涨9倍"
0,1,0,1,1,盘点2022年五大联赛每月进球最多的球员1月：本耶德尔（摩纳哥，6球）2月：于纳尔（赫塔费，6球）3月：莱万多夫斯基（拜仁，7球）4月：本泽马（皇家马德里，10球）5月：孙兴慜（热刺，6球）6月：梅西（巴黎圣日耳曼，5球）7月：小图拉姆（门兴，3球）8月：哈兰德（曼城，9球）9月：莱万多夫斯基（巴塞罗那，7球）10月：哈兰德（曼城，8球）11月：舒波-莫廷（拜仁慕尼黑，6球）12月：姆巴佩（巴黎圣日耳曼，6球）,2023/1/3,12,3,107,
0,1,0,1,8,盘点2019年夏窗以来英超六强2000万镑以上的重磅引援谁是水货？谁物超所值？ ,2023/1/3,10,9,3,
0,1,0,1,1,吐饼狂魔！努涅斯本赛季错失良机盘点 四分钟集锦一次看个够#英超错失机会榜努涅斯居首# #努涅斯射门转化率# PP体育的微博视频 ,2023/1/3,80,40,339,"英超错失机会榜努涅斯居首,努涅斯射门转化率"
0,1,0,1,1,英超错失机会榜：努涅斯萨拉赫前二 努涅斯射门转化率不足10%据ESPN数据统计，本赛季英超错失重大机会球员中，努涅斯16次位列第一，萨拉赫12次位居第二。另外，据Opta统计，在本赛季英超联赛射门数超过30次的球员中，努涅斯的射门转化率仅有9.1%，位列倒数第五。努涅斯全部55次射门，仅打入了5粒联赛进球。#英超错失机会榜努涅斯居首# #努涅斯射门转化率#,2023/1/3,23,21,4,"英超错失机会榜努涅斯居首,努涅斯射门转化率"
0,1,0,1,1,外媒盘点梅西2023年可以解锁的新里程碑：生涯800球+国家队100球生涯800球（还差7球）俱乐部700球（还差5球）俱乐部300助攻（还差3次）俱乐部参与1000球（还差8球）联赛500球（还差13球）国家队100球（还差2球）#梅西2023年有望达成的里程碑# ,2023/1/3,61,4,219,梅西2023年有望达成的里程碑
0,1,0,1,2,高清大图！C罗一家抵达沙特 接受小球迷献花并合影#C罗抵达沙特##小球迷献花欢迎C罗# ,2023/1/3,23,4,1,"C罗抵达沙特,小球迷献花欢迎C罗"
0,1,0,1,1,英超-利物浦1-3布伦特福德 科纳特乌龙+失误送礼#布伦特福德3比1利物浦# #布伦特福德队史首胜利物浦# #科纳特乌龙球# PP体育的微博视频 ,2023/1/3,17,0,113,"布伦特福德3比1利物浦,布伦特福德队史首胜利物浦,科纳特乌龙球"
0,1,1,2,1,蜇人的蜜蜂！布伦特福德本赛季对阵BIG6取得3胜2平1负的成绩布伦特福德4-0曼联布伦特福德0-3阿森纳布伦特福德0-0切尔西曼城1-2布伦特福德布伦特福德2-2热刺布伦特福德3-1利物浦#布伦特福德3比1利物浦##布伦特福德队史首胜利物浦# ,2023/1/3,34,11,3,"布伦特福德3比1利物浦,布伦特福德队史首胜利物浦"
0,1,0,1,1,法甲-朗斯3-1送巴黎赛季首败 姆巴佩哑火第5分钟，索托卡右路传中打向后点，海达拉左脚垫向中路，多纳鲁马出击打了一下皮球，弗兰科夫斯基左脚射门得分，朗斯1-0领先！第8分钟，巴黎前场左侧大范围转移，穆基莱抢在皮球出底线前完成传中，桑巴未能抱住皮球，埃基蒂克推射扳平比分，巴黎1-1！第28分钟，塞科-福法纳后场摆脱后送出手术刀直塞，拉莫斯拦截失败，奥蓬达扣过铲抢的马尔基尼奥斯，轻松推射破门，朗斯2-1再次取得领先！第48分钟，朗斯前场抢断法比安-鲁伊斯，奥蓬达脚后跟磕球助攻克劳德-毛里斯再下一城，朗斯3-1领先！#巴黎赛季联赛首败##大巴黎0-1朗斯#,2023/1/2,32,19,322,"巴黎赛季联赛首败,大巴黎0-1朗斯"
0,1,0,1,1,英超-切尔西1-1客平森林近7轮仅1胜 斯特林破门第16分钟，普利希奇左路突破后传中，博利在哈弗茨的干扰下脚后跟解围不慎踢中自家球门横梁，斯特林凌空扫射破门，切尔西1-0领先！第55分钟，耶茨右路低平球回传大禁区边缘附近，吉布斯-怀特迎球怒射，皮球击中球门横梁。第63分钟，吉布斯-怀特主罚前场左侧角球传中，哈弗茨头球解围不远，博利抢下第二点，奥里耶胸部停球凌空抽射打穿凯帕小门，诺丁汉森林1-1扳平比分！#诺丁汉森林1比1切尔西##切尔西近7轮仅1胜#,2023/1/2,8,0,105,"诺丁汉森林1比1切尔西,切尔西近7轮仅1胜"
0,1,0,1,1,英超联赛第18轮，热刺0-2阿斯顿维拉两轮不胜。下半场，洛里扑救脱手，沃特金斯助攻布恩迪亚破门，道格拉斯-路易斯推射扩大比分。 ,2023/1/2,8,5,108,
0,1,0,1,1,德转列合同年球员身价最高阵：梅西领衔，本泽马、德赫亚在列德转也盘点了将在今年迎来合同年的球星中，身价最高的11人阵容，其中梅西、本泽马、德赫亚、什克等球星在列。以下为具体阵容以及球员身价：门将：德赫亚（曼联，1500万欧）后卫：本瑟拜尼（门兴，2000万欧），恩迪卡（法兰克福，3200万欧），什克里尼亚尔（国米，6000万欧），塞梅多（狼队，1800万欧）中场：扎哈（水晶宫，3200万欧），若日尼奥（切尔西，3500万欧），蒂莱曼斯（莱斯特城，4000万欧），梅西（巴黎，5000万欧）前锋：小图拉姆（门兴，3200万欧），本泽马（皇马，3500万欧）,2023/1/1,10,2,216,
